CVE,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT
CVE-2021-43071,,heap-based buffer overflow,execute unauthorized code or commands,crafted HTTP requests to the LogReport API controller,attacker,Fortinet FortiWeb,version 6.4.1 and 6.4.0 | version 6.3.15 and below | version 6.2.6 and below,
CVE-2021-43215, ,Memory Corruption,Remote Code Execution, , ,iSNS Server, ,
CVE-2021-43299, ,stack-based buffer overflow,remote code execution,attacker-controlled 'filename' argument, ,pjsua, ,pjsua_player_create
CVE-2021-43300, ,stack-based buffer overflow,remote code execution,attacker-controlled 'filename' argument, ,pjsua, ,pjsua_recorder_create
CVE-2021-43301, ,stack-based buffer overflow, ,attacker-controlled 'file_names' argument, ,pjsua, ,pjsua_playlist_create
CVE-2021-43304, ,heap buffer overflow, ,malicious query, ,Clickhouse, ,LZ4 compression codec
CVE-2021-43305, ,heap buffer overflow, ,malicious query, ,Clickhouse, ,LZ4 compression codec
CVE-2021-43311, ,heap-based buffer overflow, , , ,upx, ,func get_le32() in PackLinuxElf32::elf_lookup() at p_lx_elf.cpp:5382
CVE-2021-43312, ,heap-based buffer overflow, , , ,upx, ,PackLinuxElf64::invert_pt_dynamic at p_lx_elf.cpp:5239
CVE-2021-43313, ,heap-based buffer overflow, , , ,upx, ,PackLinuxElf32::invert_pt_dynamic at p_lx_elf.cpp:1688
CVE-2021-43314, ,heap-based buffer overflows, , , ,upx, ,func get_le32() in PackLinuxElf32::elf_lookup() at p_lx_elf.cpp:5368
CVE-2021-43315, ,heap-based buffer overflows, , , ,upx, ,func get_le32() in PackLinuxElf32::elf_lookup() at p_lx_elf.cpp:5349
CVE-2021-43316, ,heap-based buffer overflow, , , ,upx, ,func get_le64()
CVE-2021-43317, ,heap-based buffer overflows, , , ,upx, ,func get_le32() in PackLinuxElf64::elf_lookup() at p_lx_elf.cpp:5404
CVE-2021-43453, ,out-of-bounds read | Heap-based Buffer Overflow,, , ,JerryScript,2.4.0 and prior versions,parser_parse_for_statement_start in the js-parser-statm.c file
CVE-2021-43522, ,SMM memory corruption,escalating privileges to SMM, ,attacker,Insyde InsydeH2O,kernel 5.1 through 2021-11-08 | 5.2 through 2021-11-08 | and 5.3 through 2021-11-08,StorageSecurityCommandDxe
CVE-2021-43527, ,heap overflow, ,DER-encoded DSA or RSA-PSS signatures, ,NSS (Network Security Services),prior to 3.73 or 3.68.1 ESR,
CVE-2021-43529, ,heap overflow, ,S/MIME messages that contain certificates with DER-encoded DSA or RSA-PSS signatures, ,Thunderbird,prior to 91.3.0,
CVE-2021-43537,incorrect type conversion of sizes from 64bit to 32bit integers, ,exploitable crash, ,attacker,Thunderbird < 91.4.0 | Firefox ESR < 91.4.0 | and Firefox < 95,,
CVE-2021-43556, ,stack-based buffer overflow,execute arbitrary code,project files,attacker,FATEK WinProladder,Versions 3.30_24518 and prior,
CVE-2021-43579, ,stack-based buffer overflow,remote code execution,crafted BMP file, ,HTMLDOC,<= 1.9.13,image_load_bmp()
CVE-2021-43615, ,SMM memory corruption,escalating privileges to SMM, ,attacker,Insyde InsydeH2O,kernel 5.1 before 05.16.23 | 5.2 before 05.26.23 | 5.3 before 05.35.23 | 5.4 before 05.43.22 | 5.5 before 05.51.22,HddPassword
CVE-2021-43754, ,Out-of-bounds Write,arbitrary code execution,malicious file, ,Adobe Prelude,22.1.1 (and earlier),
CVE-2021-43755, ,Out-of-bounds Write,arbitrary code execution,malicious file, ,Adobe After Effects,22.0 (and earlier) and 18.4.2 (and earlier),
CVE-2021-43756, ,Out-of-bounds Write,arbitrary code execution,malicious file,unauthenticated attacker,Adobe Media Encoder,22.0 | 15.4.2 (and earlier),
CVE-2021-43983, ,multiple stack-based buffer overflow,execute arbitrary code,parsing project files,attacker,WECON LeviStudioU,Versions 2019-09-21 and prior,
CVE-2021-44016, ,,memory corruption | execute code,specially crafted PAR files,attacker,JT2Go,All versions < V13.2.0.7,plmxmlAdapterSE70.dll library
CVE-2021-44018, ,,memory corruption | execute code,specially crafted PAR files,attacker,JT2Go,All versions < V13.2.0.7,plmxmlAdapterSE70.dll library
CVE-2022-0903, ,stack overflow,crash the server,maliciously crafted POST body,attacker,Mattermost server,up to and including 6.3.2,SAML login feature
CVE-2022-0904, ,stack overflow,crash the server,maliciously crafted Apple Pages document,attacker,Mattermost Server,up to and including 6.3.2,document extractor
CVE-2022-0971, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome on Android,prior to 99.0.4844.74,Blink Layout
CVE-2022-0972, ,Use after free,heap corruption,crafted HTML page,attacker,Google Chrome,prior to 99.0.4844.74,Extensions
CVE-2022-0973, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 99.0.4844.74,Safe Browsing
CVE-2022-0974, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome on Chrome OS,prior to 99.0.4844.74,Splitscreen
CVE-2022-0975, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 99.0.4844.74,ANGLE
CVE-2022-0976, ,Heap buffer overflow,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 99.0.4844.74,GPU
CVE-2022-0977, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome on Chrome OS,prior to 99.0.4844.74,Browser UI
CVE-2022-0978, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 99.0.4844.74,ANGLE
CVE-2022-0979, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome on Android,prior to 99.0.4844.74,Safe Browsing
CVE-2022-0980, ,Use after free,heap corruption,specific user interactions,attacker,Google Chrome,prior to 99.0.4844.74,New Tab Page
CVE-2022-1016, ,use-after-free,kernel information leak, local, unprivileged attacker,Linux kernel, ,net/netfilter/nf_tables_core.c:nft_do_chain
CVE-2022-1052, ,Heap Buffer Overflow, , , ,radareorg/radare2,prior to 5.6.6,iterate_chained_fixups
CVE-2022-1061, ,Heap Buffer Overflow, , , ,radareorg/radare2,prior to 5.6.8,parseDragons
CVE-2022-1068, ,stack-based buffer overflow,crash the program,long character string, ,Modbus Tools Modbus Slave,7.4.2 and prior,registration field
CVE-2022-1096,Type confusion, ,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 99.0.4844.84,V8
CVE-2022-1125, ,Use after free,heap corruption,user interaction,remote attacker,Google Chrome,prior to 100.0.4896.60,Portals
CVE-2022-1127, ,Use after free,heap corruption,user interaction,remote attacker,Google Chrome,prior to 100.0.4896.60,QR Code Generator
CVE-2022-1131, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.60,Cast UI
CVE-2022-1133, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.60,WebRTC Perf
CVE-2022-1134,Type confusion, ,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.60,V8
CVE-2022-1135, ,Use after free,heap corruption,standard feature user interaction,remote attacker,Google Chrome,prior to 100.0.4896.60,Shopping Cart
CVE-2022-1136, ,Use after free,heap corruption,specific set of user gestures,attacker,Google Chrome,prior to 100.0.4896.60,Tab Strip
CVE-2022-1141, ,Use after free,heap corruption,specific user gesture,remote attacker,Google Chrome,prior to 100.0.4896.60,File Manager
CVE-2022-1142, ,Heap buffer overflow,heap corruption,specific input into DevTools,remote attacker,Google Chrome,prior to 100.0.4896.60,WebUI
CVE-2022-1143, ,Heap buffer overflow,heap corruption,specific input into DevTools,remote attacker,Google Chrome,prior to 100.0.4896.60,WebUI
CVE-2022-1144, ,Use after free,heap corruption,specific input into DevTools,remote attacker,Google Chrome,prior to 100.0.4896.60,WebUI
CVE-2022-1145, ,Use after free,heap corruption,specific user interaction and profile destruction,attacker,Google Chrome,prior to 100.0.4896.60,Extensions
CVE-2022-1211, ,stack-based overflows,crashes, , ,tildearrow Furnace,dev73,FUR to VGM converter in console mode
CVE-2022-1232,Type confusion, ,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.75,V8
CVE-2022-1237,Improper Validation of Array Index,heap overflow,, , ,radareorg/radare2,prior to 5.6.8,libr/bin/format/ne/ne.c
CVE-2022-1238,,Out-of-bounds Write | heap overflow,, , ,radareorg/radare2,prior to 5.6.8,libr/bin/format/mach0/mach0.c
CVE-2022-1240, ,heap buffer overflow, , , ,radareorg/radare2,prior to 5.8.6,libr/bin/format/mach0/mach0.c
CVE-2022-1270, ,heap buffer overflow, , , ,GraphicsMagick, ,
CVE-2022-1305, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.88,storage
CVE-2022-1308, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.88,BFCache
CVE-2022-1310, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 100.0.4896.88,regular expressions
CVE-2022-1865, ,Use after free,heap corruption,crafted Chrome Extension and specific user interaction,attacker,Google Chrome,prior to 102.0.5005.61,Bookmarks
CVE-2022-1866, ,Use after free,heap corruption,specific user interactions,remote attacker,Google Chrome on Chrome OS,prior to 102.0.5005.61,Tablet Mode
CVE-2022-1869,Type Confusion, ,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 102.0.5005.61,V8
CVE-2022-1870, ,Use after free,heap corruption,crafted Chrome Extension,attacker,Google Chrome,prior to 102.0.5005.61,App Service
CVE-2022-1876, ,Heap buffer overflow,heap corruption,crafted HTML page,attacker,Google Chrome,prior to 102.0.5005.61,DevTools
CVE-2022-1888, ,stack-based buffer overflow,execute arbitrary code,specifically crafted project file, ,Alpha7 PC Loader,All versions,
CVE-2022-1919, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 101.0.4951.41,Codecs
CVE-2022-1922,,integer overflow | heap overwrite,segfault,mkv demuxing using zlib decompression, , , ,matroskademux element in gst_matroska_decompress_data function
CVE-2022-1923,,integer overflow | heap overwrite,segfault,mkv demuxing using bzip decompression, , , ,matroskademux element in bzip decompression function
CVE-2022-1924,,integer overflow | heap overwrite,segfault,mkv demuxing using lzo decompression, , , ,matroskademux element in lzo decompression function
CVE-2022-1925,,integer overflow | heap overflow,,HEADERSTRIP decompression, , , ,matroskaparse element in gst_matroska_decompress_data function
CVE-2022-1927, ,Buffer Over-read, , , ,vim/vim,prior to 8.2,
CVE-2022-1974,race condition,use-after-free,kernel information leak, ,local attacker with CAP_NET_ADMIN privilege,Linux kernel,through 5.15.11,NFC core functionality
CVE-2022-20013,race condition,,memory corruption | local escalation of privilege, , , , ,vow driver
CVE-2022-20014,improper input validation,,memory corruption | local escalation of privilege, , , , ,vow driver
CVE-2022-20016,improper locking,,memory corruption | local escalation of privilege, , , , ,vow driver
CVE-2022-20030, ,stack-based buffer overflow,local escalation of privilege, , , , ,vow driver
CVE-2022-20032,race condition,,memory corruption | local information disclosure, , , , ,vow driver
CVE-2022-20038,incorrect bounds check,,memory corruption | local escalation of privilege, , , , ,ccu driver
CVE-2022-20040, ,stack-based buffer overflow,permission bypass | local escalation of privilege,, , , ,power_hal_manager_service
CVE-2022-20046,logic error,,memory corruption | local denial of service, , , , ,Bluetooth
CVE-2022-20057,incorrect error handling,,memory corruption | local escalation of privilege, , , , ,btif
CVE-2022-2007, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 102.0.5005.115,WebGPU
CVE-2022-20070,missing bounds check, ,local escalation of privilege,out of bounds write, , , ,ssmr
CVE-2022-20073,,integer underflow,local escalation of privilege,out of bounds write,attacker who has physical access to the device,Android, ,preloader (usb)
CVE-2022-20076,incorrect error handling,,memory corruption | local information disclosure, , , , ,ged
CVE-2022-20077,race condition,,memory corruption | local escalation of privilege, , , , ,vow
CVE-2022-20078,race condition,,memory corruption | local escalation of privilege, , , , ,vow
CVE-2022-2008, ,Double free ,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 102.0.5005.115,WebGL
CVE-2022-20080,race condition,,memory corruption | local escalation of privilege, , , , ,SUB2AF
CVE-2022-20082,race condition,use after free,local escalation of privilege, , , , ,GPU
CVE-2022-20089,active debug code,,memory corruption | local escalation of privilege, , , , ,aee driver
CVE-2022-20105, ,stack-based buffer overflow,local escalation of privilege,out of bounds write, , , ,MM service
CVE-2022-20106, ,heap-based buffer overflow,local escalation of privilege,out of bounds write, , , ,MM service
CVE-2022-20108, ,stack-based buffer overflow,local escalation of privilege,out of bounds write, , , ,voice service
CVE-2022-2011, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 102.0.5005.115,ANGLE
CVE-2022-20110,race condition,use after free,local escalation of privilege, , , , ,ion
CVE-2022-20111,incorrect error handling,use after free,local escalation of privilege, , , , ,ion
CVE-2022-20130,,heap buffer overflow,remote code execution,out of bounds write, ,Android,Android-10 Android-11 Android-12 Android-12L,transportDec_OutOfBandConfig of tpdec_lib.cpp
CVE-2022-20131,missing bounds check, ,remote information disclosure,out of bounds read, ,Android,Android-10 Android-11 Android-12 Android-12L,nci_proc_rf_management_ntf of nci_hrcv.cc
CVE-2022-20141,improper locking,use after free,local escalation of privilege,opening and closing inet sockets, ,Android kernel, ,ip_check_mc_rcu of igmp.c
CVE-2022-20148,race condition,use-after-free,local escalation of privilege, , ,Android kernel, ,(TBD) of (TBD)
CVE-2022-20154,race condition,use after free,local escalation of privilege, , ,Android kernel, ,lock_sock_nested of sock.c
CVE-2022-20155,race condition,use-after-free,local escalation of privilege, , ,Android kernel, ,ipu_core_jqs_msg_transport_kernel_write_sync of ipu-core-jqs-msg-transport.c
CVE-2022-20166,,heap buffer overflow,local escalation of privilege,out of bounds write, ,Android kernel, ,various methods of kernel base drivers
CVE-2022-20201,missing bounds check, ,local escalation of privilege,out of bounds read, ,Android,Android-12L,getAppSize of InstalldNativeService.cpp
CVE-2022-20202,,heap buffer overflow,remote information disclosure,out of bounds read, ,Android,Android-12L,ih264_resi_trans_quant_4x4_sse42 of ih264_resi_trans_quant_sse42.c
CVE-2022-20203, , ,local escalation of privilege,corrupt memory when decoding untrusted protobuf files, , , ,nanopb library
CVE-2022-20209,,heap buffer overflow,remote information disclosure,out of bounds read, ,Android,Android-12L,hme_add_new_node_to_a_sorted_array of hme_utils.c
CVE-2022-20235,, ,memory corruption,write arbitrary data to the page,user-space program,Android SoC, ,
CVE-2022-20237,missing bounds check, ,remote code execution,out of bounds write, ,Android kernel, ,BuildDevIDResponse of miscdatabuilder.cpp
CVE-2022-20247,,heap buffer overflow,remote information disclosure,out of bounds read, ,Android,Android-13,Media
CVE-2022-20256,race condition, ,local escalation of privilege,out of bounds write, ,Android,Android-13,Audio HAL
CVE-2022-20273,,heap buffer overflow,remote information disclosure,out of bounds read, ,Android,Android-13,Bluetooth
CVE-2022-20371,race condition,use after free,local escalation of privilege, , ,Android kernel, ,dm_bow_dtr and related functions of dm-bow.c
CVE-2022-20373,race condition,use after free,local escalation of privilege, , ,Android kernel, ,st21nfc_loc_set_polaritymode of fc/st21nfc.c
CVE-2022-20382,,kernel stack overflow,local escalation of privilege,out of bounds write, ,Android kernel, ,(TBD) of (TBD)
CVE-2022-20393,,integer overflow,local information disclosure,out of bounds read, ,Android,Android-11 Android-12 Android-12L,extract3GPPGlobalDescriptions of TextDescriptions.cpp
CVE-2022-20422,race condition, ,local escalation of privilege,corrupt memory, ,Android kernel, ,emulation_proc_handler of armv8_deprecated.c
CVE-2022-20447,use after free, ,remote information disclosure,out of bounds read, ,Android,Android-13,PAN_WriteBuf of pan_api.cc
CVE-2022-20461,type confusion, ,local escalation of privilege,out of bounds read, ,Android,Android-10 Android-11 Android-12 Android-12L Android-13,pinReplyNative of com_android_bluetooth_btservice_AdapterService.cpp
CVE-2022-20483,,integer overflows,remote information disclosure,out of bounds reads, ,Android,Android-10 Android-11 Android-12 Android-12L Android-13,several functions that parse avrc response in avrc_pars_ct.cc and related files
CVE-2022-20513,missing bounds check, ,local information disclosure,out of bounds read, ,Android,Android-13,decrypt_1_2 of CryptoPlugin.cpp
CVE-2022-20516,,integer overflow,remote information disclosure,out of bounds read, ,Android,Android-13,rw_t3t_act_handle_check_ndef_rsp of rw_t3t.cc
CVE-2022-20542,missing bounds check, ,local escalation of privilege,out of bounds write, ,Android,Android-13,parseParamsBlob of types.cpp
CVE-2022-20552,use after free, ,local information disclosure,out of bounds read, ,Android,Android-13,btif_a2dp_sink_command_ready of btif_a2dp_sink.cc
CVE-2022-20554,use after free, ,local escalation of privilege,OOB read, ,Android,Android-13,removeEventHubDevice of InputDevice.cpp
CVE-2022-20567,race condition,use after free,local escalation of privilege, , ,Android kernel, ,pppol2tp_create of l2tp_ppp.c
CVE-2022-20569,improper input validation, ,local escalation of privilege in the kernel,out of bounds write, ,Android kernel, ,thermal_cooling_device_stats_update of thermal_sysfs.c
CVE-2022-20574,improper input validation, ,local information disclosure,out of bounds read, ,Android kernel, ,sec_sysmmu_info of drm_fw.c
CVE-2022-20581,logic error,use after free,local escalation of privilege, , ,Android kernel, ,Pixel camera driver
CVE-2022-20600,,,memory corruption | local escalation of privilege,out of bounds write, ,Android kernel, ,TBD of TBD
CVE-2022-20689,missing length validation checks, ,memory corruption,malicious Cisco Discovery Protocol packet, adjacent attacker,Cisco ATA 190 Series Analog Telephone Adapter firmware, ,Cisco Discovery Protocol functionality
CVE-2022-20690,missing length validation checks, ,memory corruption,malicious Cisco Discovery Protocol packet, adjacent attacker,Cisco ATA 190 Series Analog Telephone Adapter firmware, ,Cisco Discovery Protocol functionality
CVE-2022-21217, ,,out-of-bounds write,specially-crafted network request, ,reolink RLC-410W,v3.0.0.136_20121102,device TestEmail functionality
CVE-2022-2156, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 103.0.5060.53,Core
CVE-2022-2157, ,Use after free,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 103.0.5060.53,Interest groups
CVE-2022-2158,Type confusion, ,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 103.0.5060.53,V8
CVE-2022-2161, ,Use after free,heap corruption,specific UI interactions,remote attacker,Google Chrome,prior to 103.0.5060.53,WebApp Provider
CVE-2022-2163, ,Use after free,heap corruption,UI interaction,attacker,Google Chrome,prior to 103.0.5060.134,Cast UI and Toolbar
CVE-2022-21708, , ,Denial of Service (DoS),specifically designed queries,attacker,graphql-go,prior to 1.3.0,
CVE-2022-21729,,integer overflow bug,division by zero, , ,Tensorflow, ,implementation of UnravelIndex
CVE-2022-21743,,integer overflow | use after free,local escalation of privilege, , , , ,ion
CVE-2022-2175, ,Buffer Over-read, , , ,vim/vim,prior to 8.2,
CVE-2022-21765,missing bounds check, ,local escalation of privilege,out of bounds write, , , ,CCCI
CVE-2022-21766,missing bounds check, ,local escalation of privilege,out of bounds write, , , ,CCCI
CVE-2022-21771,race condition,use after free,local escalation of privilege, , , , ,GED driver
CVE-2022-21773,race condition,use after free,local escalation of privilege, , , , ,TEEI driver
CVE-2022-21774,race condition,use after free,local escalation of privilege, , , , ,TEEI driver
CVE-2022-21775,improper locking,use after free,local escalation of privilege, , , , ,sched driver
CVE-2022-21776,race condition,use after free,local escalation of privilege, , , , ,MDP
CVE-2022-21784,missing bounds check, ,local escalation of privilege,out of bounds write, , , ,WLAN driver
CVE-2022-21786,improper casting,,memory corruption | local escalation of privilege, , , , ,audio DSP
CVE-2022-21789,race condition,,memory corruption | local escalation of privilege, , , , ,audio ipi
CVE-2022-21796, ,,memory corruption | out-of-bounds write,specially-crafted HTTP request,attacker,reolink RLC-410W,v3.0.0.136_20121102,netserver parse_command_list functionality
CVE-2022-22057,race condition,Use after free, ,closing fence file descriptor and destroy graphics timeline simultaneously, ,Snapdragon Auto, Snapdragon Compute,
CVE-2022-22070, lack of check of invalid routing address, ,Memory corruption, , ,Snapdragon, ,audio
CVE-2022-22072, improper validation of NDP application information length,Buffer overflow,, , ,Snapdragon, ,
CVE-2022-22074,, integer overflow,Memory Corruption, , ,Snapdragon, ,
CVE-2022-22080, Improper validation of backend id in PCM routing process, ,memory corruption, , ,Snapdragon, ,
CVE-2022-22081,, integer overflow,Memory corruption, , ,Snapdragon, ,audio module
CVE-2022-22088,, buffer overflow,Memory corruption, , , , ,Bluetooth HOST
CVE-2022-22093, improper handling of concurrent hypervisor operations to attach or detach IRQs from virtual interrupt sources, ,Memory corruption|temporary denial of service, , ,Snapdragon, ,
CVE-2022-22094, race condition while getting mapping reference, ,memory corruption, , ,Snapdragon, ,Kernel
CVE-2022-22098, untrusted pointer dereference while reading data from socket, ,Memory corruption, , ,Snapdragon Auto, ,multimedia driver
CVE-2022-22100, improper check on received export descriptors, ,Memory corruption, , ,Snapdragon Auto, ,multimedia
CVE-2022-22102, incorrect type conversion while adding data, ,Memory corruption, , ,Snapdragon Auto, ,multimedia
CVE-2022-22104, improper check on the messages received., ,Memory corruption, , ,Snapdragon Auto, ,multimedia
CVE-2022-22106, improper length check while copying the data, ,Memory corruption, , ,Snapdragon Auto, ,multimedia
CVE-2022-22137, arbitrary free, ,memory corruption,malformed file, ,Accusoft ImageGear,19.1,ioca_mys_rgb_allocate
CVE-2022-22150, improper handling of an exception, ,memory corruption|arbitrary code execution,specially-crafted PDF document, ,Foxit Software’s PDF Reader,11.1.0.52543,JavaScript engine
CVE-2022-22208, Use After Free of a memory location, ,Denial of Service (DoS), ,unauthenticated network-based attacker,Juniper Networks Junos OS, ,Routing Protocol Daemon (rdp)
CVE-2022-22249, Improper Control of a Resource Through its Lifetime, ,Denial of Service (DoS),adjacent attacker,Juniper Networks Junos OS, ,Packet Forwarding Engine (PFE),
CVE-2022-22250, Improper Control of a Resource Through its Lifetime, ,Denial of Service (DoS),unauthenticated adjacent attacker,Juniper Networks Junos OS, ,Packet Forwarding Engine (PFE),
CVE-2022-22519, , ,crash,specific crafted HTTP or HTTPS requests,remote unauthenticated attacker,CODESYS Control runtime system, ,webserver
CVE-2022-22610, , ,code execution,maliciously crafted web content, , ,macOS Monterey 12.3,
CVE-2022-22627, , ,unexpected application termination or disclosure of process memory,maliciously crafted AppleScript binary, , ,macOS Big Sur 11.6.5,
CVE-2022-22737, race condition when playing audio files and closing windows,use-after-free,potentially exploitable crash, , ,Firefox, ,
CVE-2022-22764, memory safety bugs, ,arbitrary code, , ,Firefox, ,
CVE-2022-2296, Use after free, ,heap corruption,direct UI interactions,remote attacker,Google Chrome, ,Chrome OS Shell
CVE-2022-23035, Insufficient cleanup of passed-through device IRQs, ,de-reference of NULL and a use-after-free, , , , ,
CVE-2022-23095, Unchecked input data from a crafted JPG file, ,memory corruption,crafted JPG file, ,Open Design Alliance Drawings SDK,before 2022.12.1,
CVE-2022-2329,, Integer Overflow or Wraparound | heap-based buffer overflow,denial of service|remote code execution,multiple specially crafted messages,attacker,IGSS Data Server, ,IGSSdataServer.exe
CVE-2022-23523, , ,infinite loop,modified ELF header of the kernel, ,linux-loader,prior to 0.8.1,
CVE-2022-23524,, Uncontrolled Resource Consumption,Denial of Service,Input to functions, ,Helm,prior to 3.10.3,strvals package
CVE-2022-23537, ,Buffer overread,,specially crafted STUN message with unknown attribute, ,PJSIP,up to and including 2.11.1,
CVE-2022-23547, ,buffer overread,,certain STUN message, ,PJSIP,up to and including 2.11.1,
CVE-2022-23559,, integer overflow in embedding lookup operations,heap OOB read/write,TFLite model,attacker,Tensorflow, ,
CVE-2022-23591, self recursive functions, ,stack overflow,GraphDef containing a fragment, ,Tensorflow, ,
CVE-2022-23608, premature free of a hash key, ,undefined behavior such as dialog list collision which eventually leading to endless loop, , ,PJSIP,up to and including 2.11.1,
