CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2021-1001,"In PVInitVideoEncoder of mp4enc_api.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12Android ID: A-190435883",,out of bounds read due to a heap buffer overflow,,heap buffer overflow | out of bounds read,local information disclosure,,,Android,Android-12,PVInitVideoEncoder of mp4enc_api.cpp,,"nan, local, information, disclosure"
CVE-2021-1047,"In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A",CWE-190->CWE-125,out of bounds read due to an integer overflow,,integer overflow | out of bounds read,local information disclosure,,,Android,Android kernel,valid_ipc_dram_addr of cm_access_control.c,,"nan, local, information, disclosure"
CVE-2021-20038,"A Stack-based buffer overflow vulnerability in SMA100 Apache httpd server's mod_cgi module environment variables allows a remote unauthenticated attacker to potentially execute code as a 'nobody' user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions.",,Stack-based buffer overflow,,Stack-based buffer overflow,potentially execute code as a 'nobody' user,,remote unauthenticated attacker,SMA100 Apache httpd server,"firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions",mod_cgi module,,"execute, potentially, nan, user, nobody, a, as, code"
CVE-2021-20043,"A Heap-based buffer overflow vulnerability in SonicWall SMA100 getBookmarks method allows a remote authenticated attacker to potentially execute code as the nobody user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances.",,"method is vulnerable to heap-based buffer-overflow, due to unchecked use of strcat.",unchecked use of strcat,Heap-based buffer overflow,potentially execute code as the nobody user,,remote authenticated attacker,SonicWall SMA100,,getBookmarks method,,"execute, potentially, user, nobody, as, code, the"
CVE-2021-20046,"A Stack-based buffer overflow in the SonicOS HTTP Content-Length response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.",,Stack-based buffer overflow,,Stack-based buffer overflow,unexpected application termination | heap corruption,,remote authenticated attacker,SonicOS,"Gen 5, Gen 6 and Gen 7 firmware versions",HTTP Content-Length response header,,"termination, unexpected, heap, corruption, nan, application"
CVE-2021-20048,"A Stack-based buffer overflow in the SonicOS SessionID HTTP response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.",,Stack-based buffer overflow,,Stack-based buffer overflow,Denial of Service (DoS) | potentially results in code execution,,remote authenticated attacker,SonicOS,"Gen 5, Gen 6 and Gen 7 firmware versions",SessionID HTTP response header,,"potentially, service, dos, results, of, execution, in, nan, denial, code"
CVE-2021-21773,An out-of-bounds write vulnerability exists in the TIFF header count-processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,CWE-754->CWE-787,a buffer overflow caused by a missing null check for a size field. ... can lead to an out-of-bounds write ... can result in memory corruption,missing null check for a size field,out-of-bounds write | buffer overflow,memory corruption,specially crafted malformed file,,Accusoft ImageGear,19.8,TIFF header count-processing functionality,,
CVE-2021-21776,An out-of-bounds write vulnerability exists in the SGI Format Buffer Size Processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,CWE-131->CWE-787,out-of-bounds write,,out-of-bounds write,memory corruption,specially crafted malformed file,,Accusoft ImageGear,19.8,SGI Format Buffer Size Processing functionality,,"nan, corruption, memory"
CVE-2021-21782,An out-of-bounds write vulnerability exists in the SGI format buffer size processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,,out-of-bounds write ... in the SGI format buffer size processing functionality,,out-of-bounds write,memory corruption,specially crafted malformed file,,Accusoft ImageGear,19.8,SGI format buffer size processing functionality,,"nan, corruption, memory"
CVE-2021-21793,An out-of-bounds write vulnerability exists in the JPG sof_nb_comp header processing functionality of Accusoft ImageGear 19.8 and 19.9. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,,out-of-bounds write,,out-of-bounds write,memory corruption,specially crafted malformed file,,Accusoft ImageGear,19.8 and 19.9,JPG sof_nb_comp header processing functionality,,"nan, corruption, memory"
CVE-2021-21832,A memory corruption vulnerability exists in the ISO Parsing functionality of Disc Soft Ltd Deamon Tools Pro 8.3.0.0767. A specially crafted malformed file can lead to an out-of-bounds write. An attacker can provide a malicious file to trigger this vulnerability.,CWE-190->CWE-122,memory corruption ... out-of-bounds write,,out-of-bounds write | memory corruption,segmentation fault | application crash,specially crafted malformed file,,Disc Soft Ltd Deamon Tools Pro,8.3.0.0767,ISO Parsing functionality,,"segmentation, nan, fault, application, crash"
CVE-2021-21887,A stack-based buffer overflow vulnerability exists in the Web Manager SslGenerateCSR functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.,,stack-based buffer overflow,,stack-based buffer overflow,remote code execution,specially crafted HTTP request,,Lantronix PremierWave 2050,8.9.0.0R4 (in QEMU),Web Manager SslGenerateCSR functionality,,"nan, remote, execution, code"
CVE-2021-21889,A stack-based buffer overflow vulnerability exists in the Web Manager Ping functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.,,stack-based buffer overflow, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager Ping functionality,,"remote, execution, code"
CVE-2021-21890,A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletedir). An attacker can make an authenticated HTTP request to trigger this vulnerability.,,stack-based buffer overflow, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager FsBrowseClean functionality,,"remote, execution, code"
CVE-2021-21891,A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletefile). An attacker can make an authenticated HTTP request to trigger this vulnerability.,CWE-20->CWE-121,stack-based buffer overflow, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager FsBrowseClean functionality,,"remote, execution, code"
CVE-2021-21892,A stack-based buffer overflow vulnerability exists in the Web Manager FsUnmount functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.,CWE-20->CWE-121,stack-based buffer overflow, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager FsUnmount functionality,,"remote, execution, code"
CVE-2021-21901,A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to memcpy. An attacker can send a malicious packet to trigger this vulnerability.,,stack-based buffer overflow, ,stack-based buffer overflow, ,specially-crafted packet, ,Garrett Metal Detectors’ iC Module,CMA Version 5.0,CMA check_udp_crc function,,
CVE-2021-21903,A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to strcpy. An attacker can send a malicious packet to trigger this vulnerability.,CWE-20->CWE-121,stack-based buffer overflow, ,stack-based buffer overflow, ,specially-crafted packet, ,Garrett Metal Detectors’ iC Module,CMA Version 5.0,CMA check_udp_crc function,,
CVE-2021-21905,"Stack-based buffer overflow vulnerability exists in how the CMA readfile function of Garrett Metal Detectors iC Module CMA Version 5.0 is used at various locations. The Garrett iC Module exposes an authenticated CLI over TCP port 6877. This interface is used by a secondary GUI client, called “CMA Connect”, to interact with the iC Module on behalf of the user. After a client successfully authenticates, they can send plaintext commands to manipulate the device.",CWE-20->CWE-121,Stack-based buffer overflow, ,Stack-based buffer overflow, , ,attacker,Garrett Metal Detectors iC Module,CMA Version 5.0,CMA readfile function,,
CVE-2021-21914,A heap-based buffer overflow vulnerability exists in the DecoderStream::Append functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,CWE-190->CWE-122,heap-based buffer overflow, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,DecoderStream::Append functionality,,"execution, code"
CVE-2021-21938,A heap-based buffer overflow vulnerability exists in the Palette box parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,CWE-193->CWE-122,heap-based buffer overflow, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,Palette box parser functionality,,"execution, code"
CVE-2021-21939,A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,CWE-1284->CWE-131->CWE-122,heap-based buffer overflow, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,XWD parser functionality,,"execution, code"
CVE-2021-21943,A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,CWE-1284->CWE-131->CWE-122,heap-based buffer overflow, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,XWD parser functionality,,"execution, code"
CVE-2021-21947,Two heap-based buffer overflow vulnerabilities exists in the JPEG-JFIF lossless Huffman image parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger these vulnerabilities.This heap-based buffer overflow takes place when the `SOF3` precision is greater or equal than 9.,CWE-129->CWE-122,heap-based buffer overflow, ,heap-based buffer overflow,,specially-crafted file, ,Accusoft ImageGear,19.1,JPEG-JFIF lossless Huffman image parser functionality,,nan
CVE-2021-21948,A heap-based buffer overflow vulnerability exists in the readDatHeadVec functionality of AnyCubic Chitubox AnyCubic Plugin 1.0.0. A specially-crafted GF file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger this vulnerability.,CWE-190->CWE-122,heap-based buffer overflow, ,heap-based buffer overflow,,specially-crafted GF file, ,AnyCubic Chitubox AnyCubic Plugin,1.0.0,readDatHeadVec functionality,,nan
CVE-2021-21950,An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.,CWE-1284->CWE-123,out-of-bounds write, ,out-of-bounds write,code execution,specially-crafted network packet, ,Anker Eufy Homebase 2,2.1.6.9h,CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary,,"execution, code"
CVE-2021-21951,An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function read_udp_push_config_file. A specially-crafted network packet can lead to code execution.,CWE-1284->CWE-787,out-of-bounds write, ,out-of-bounds write,code execution,specially-crafted network packet, ,Anker Eufy Homebase 2,2.1.6.9h,CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary,,"execution, code"
CVE-2021-21960,"A stack-based buffer overflow vulnerability exists in both the LLMNR functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.",CWE-1284->CWE-121,stack-based buffer overflow, ,stack-based buffer overflow,remote code execution,specially-crafted network packet, ,Sealevel Systems Inc. SeaConnect 370W,v1.3.34,LLMNR functionality,,"remote, execution, code"
CVE-2021-21961,"A stack-based buffer overflow vulnerability exists in the NBNS functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.",,stack-based buffer overflow, ,stack-based buffer overflow,remote code execution,specially-crafted network packet, ,Sealevel Systems Inc. SeaConnect 370W,v1.3.34,NBNS functionality,,"remote, execution, code"
CVE-2021-21962,"A heap-based buffer overflow vulnerability exists in the OTA Update u-download functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A series of specially-crafted MQTT payloads can lead to remote code execution. An attacker must perform a man-in-the-middle attack in order to trigger this vulnerability.",,heap-based buffer overflow, ,heap-based buffer overflow,remote code execution,series of specially-crafted MQTT payloads, ,Sealevel Systems Inc. SeaConnect 370W,v1.3.34,OTA Update u-download functionality,,"remote, execution, code"
CVE-2021-22437,There is a software integer overflow leading to a TOCTOU condition in smartphones. Successful exploitation of this vulnerability may cause random address access.,CWE-190->CWE-367,software integer overflow leading to a TOCTOU condition,,software integer overflow,random address access | TOCTOU condition, , ,smartphones, ,,,"nan, address, access, random"
CVE-2021-23138,"WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a stack-based buffer overflow, which may allow an attacker to remotely execute code.",CWE-20->CWE-121,stack-based buffer overflow, ,stack-based buffer overflow,remotely execute code, ,,WECON LeviStudioU,Versions 2019-09-21 and prior,,,"remotely, execute, code"
CVE-2021-23157,"WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a heap-based buffer overflow, which may allow an attacker to remotely execute code.",,vulnerable to a heap-based buffer overflow, ,heap-based buffer overflow,remotely execute code, ,,WECON LeviStudioU,Versions 2019-09-21 and prior,,,"remotely, execute, code"
CVE-2021-23158,"A flaw was found in htmldoc in v1.9.12. Double-free in function pspdf_export(),in ps-pdf.cxx may result in a write-what-where condition, allowing an attacker to execute arbitrary code and denial of service.",,Double-free in function,Double-free, ,write-what-where condition|denial of service, ,,htmldoc,v1.9.12,ps-pdf.cxx,,"condition, service, of, where, what, denial, write"
CVE-2021-23165,"A flaw was found in htmldoc before v1.9.12. Heap buffer overflow in pspdf_prepare_outpages(), in ps-pdf.cxx may lead to execute arbitrary code and denial of service.",,Heap buffer overflow,,Heap buffer overflow,execute arbitrary code|denial of service, , ,htmldoc,before v1.9.12,ps-pdf.cxx,,"execute, service, arbitrary, of, nan, denial, code"
CVE-2021-23169,A heap-buffer overflow was found in the copyIntoFrameBuffer function of OpenEXR in versions before 3.0.1. An attacker could use this flaw to execute arbitrary code with the permissions of the user running the application compiled against OpenEXR.,,heap-buffer overflow,,heap-buffer overflow,execute arbitrary code, , ,OpenEXR,before 3.0.1,copyIntoFrameBuffer function,,"nan, execute, arbitrary, code"
CVE-2021-23206,A flaw was found in htmldoc in v1.9.12 and prior. A stack buffer overflow in parse_table() in ps-pdf.cxx may lead to execute arbitrary code and denial of service.,,A stack buffer overflow,,stack buffer overflow,execute arbitrary code|denial of service, , ,htmldoc,v1.9.12 and prior,ps-pdf.cxx,,"execute, service, arbitrary, of, nan, denial, code"
CVE-2021-24018,A buffer underwrite vulnerability in the firmware verification routine of FortiOS before 7.0.1 may allow an attacker located in the adjacent network to potentially execute arbitrary code via a specifically crafted firmware image.,,A buffer underwrite vulnerability,,buffer underwrite,execute arbitrary code,specifically crafted firmware image,attacker located in the adjacent network,FortiOS,before 7.0.1,firmware verification routine,,"nan, execute, arbitrary, code"
CVE-2021-26112,Multiple stack-based buffer overflow vulnerabilities [CWE-121] both in network daemons and in the command line interpreter of FortiWAN before 4.5.9 may allow an unauthenticated attacker to potentially corrupt control data in memory and execute arbitrary code via specifically crafted requests.,,,,stack-based buffer overflow,potentially corrupt control data in memory | execute arbitrary code,specifically crafted requests,unauthenticated attacker,FortiWAN,before 4.5.9,network daemons and command line interpreter,,"control, execute, potentially, corrupt, memory, based, buffer, data, in, code, overflow, stack, arbitrary"
CVE-2021-26252,"A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in pspdf_prepare_page(),in ps-pdf.cxx may lead to execute arbitrary code and denial of service.",,Heap buffer overflow,,Heap buffer overflow,,,,htmldoc,v1.9.12,pspdf_prepare_page() in ps-pdf.cxx,,nan
CVE-2021-26259,"A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in render_table_row(),in ps-pdf.cxx may lead to arbitrary code execution and denial of service.",,Heap buffer overflow,,Heap buffer overflow,potentially corrupt control data in memory | execute arbitrary code,,,htmldoc,v1.9.12,render_table_row() in ps-pdf.cxx,,"control, execute, potentially, arbitrary, corrupt, memory, data, in, nan, code"
CVE-2021-26347,Failure to validate the integer operand in ASP (AMD Secure Processor) bootloader may allow an attacker to introduce an integer overflow in the L2 directory table in SPI flash resulting in a potential denial of service.,CWE-1284->CWE-190,Failure to validate the integer operand ... introduce an integer overflow,Failure to validate the integer operand,integer overflow,potential denial of service,,,ASP (AMD Secure Processor),,bootloader,,"denial, of, service, potential"
CVE-2021-26384,"A malformed SMI (System Management Interface) command may allow an attacker to establish a corrupted SMI Trigger Info data structure, potentially leading to out-of-bounds memory reads and writes when triggering an SMI resulting in a potential loss of resources.",,potentially leading to out-of-bounds memory reads and writes,,out-of-bounds memory reads and writes,potential loss of resources,malformed SMI command,,,,SMI (System Management Interface),,"nan, resources, loss, potential"
CVE-2021-26386,A malicious or compromised UApp or ABL may be used by an attacker to issue a malformed system call to the Stage 2 Bootloader potentially leading to corrupt memory and code execution.,,leading to corrupt memory,,corrupt memory,code execution,malformed system call,,,,Stage 2 Bootloader,,"nan, execution, code"
CVE-2021-26567,Stack-based buffer overflow vulnerability in frontend/main.c in faad2 before 2.2.7.1 allow local attackers to execute arbitrary code via filename and pathname options.,,Stack-based buffer overflow,,Stack-based buffer overflow,execute arbitrary code,filename and pathname options,local attackers,faad2,before 2.2.7.1,frontend/main.c,,"nan, execute, arbitrary, code"
CVE-2021-26635,"In the code that verifies the file size in the ark library, it is possible to manipulate the offset read from the target file due to the wrong use of the data type. An attacker could use this vulnerability to cause a stack buffer overflow and as a result, perform an attack such as remote code execution.",CWE-843->CWE-121,due to the wrong use of the data type ... to cause a stack buffer overflow,wrong use of the data type,stack buffer overflow,remote code execution,,,ark library,,,,"remote, execution, code"
CVE-2021-26727,Multiple command injections and stack-based buffer overflows vulnerabilities in the SubNet_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,,Multiple command injections and stack-based buffer overflows,,command injections | stack-based buffer overflows,execute arbitrary code with the same privileges as the server user (root),,,Lanner Inc IAC-AST2500A,standard firmware version 1.10.0,SubNet_handler_func function of spx_restservice,,"execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the"
CVE-2021-26728,Command injection and stack-based buffer overflow vulnerabilities in the KillDupUsr_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,,Command injection and stack-based buffer overflow vulnerabilities,,command injection | stack-based buffer overflows,execute arbitrary code with the same privileges as the server user (root),,,Lanner Inc IAC-AST2500A,standard firmware version 1.10.0,KillDupUsr_func function of spx_restservice,,"execute, arbitrary, server, privileges, same, nan, with, user, overflows, root, as, code, the"
CVE-2021-26729,Command injection and multiple stack-based buffer overflows vulnerabilities in the Login_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,,Command injection and multiple stack-based buffer overflows,,command injection | stack-based buffer overflows,execute arbitrary code with the same privileges as the server user (root),,,Lanner Inc IAC-AST2500A,standard firmware version 1.10.0,Login_handler_func function of spx_restservice,,"execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the"
CVE-2021-26730,A stack-based buffer overflow vulnerability in a subfunction of the Login_handler_func function of spx_restservice allows an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,,A stack-based buffer overflow vulnerability,,stack-based buffer overflow,execute arbitrary code with the same privileges as the server user (root),,,Lanner Inc IAC-AST2500A,standard firmware version 1.10.0,subfunction of the Login_handler_func function of spx_restservice,,"execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the"
CVE-2021-26731,Command injection and multiple stack-based buffer overflows vulnerabilities in the modifyUserb_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,,Command injection and multiple stack-based buffer overflows,,Command injection | stack-based buffer overflows,execute arbitrary code with the same privileges as the server user (root),,,Lanner Inc IAC-AST2500A,standard firmware version 1.10.0,modifyUserb_func function of spx_restservice,,"execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the"
CVE-2021-28237,LibreDWG v0.12.3 was discovered to contain a heap-buffer overflow via decode_preR13.,,heap-buffer overflow,,heap-buffer overflow,,,,LibreDWG,v0.12.3,decode_preR13,,nan
CVE-2021-28277,A Heap-based Buffer Overflow vulnerabilty exists in jhead 3.04 and 3.05 is affected by: Buffer Overflow via the RemoveUnknownSections function in jpgfile.c.,,A Heap-based Buffer Overflow,,Heap-based Buffer Overflow,,,,jhead,3.04 and 3.05,RemoveUnknownSections function in jpgfile.c,,nan
CVE-2021-28278,A Heap-based Buffer Overflow vulnerability exists in jhead 3.04 and 3.05 via the RemoveSectionType function in jpgfile.c.,,A Heap-based Buffer Overflow,,Heap-based Buffer Overflow,,,,jhead,3.04 and 3.05,RemoveSectionType function in jpgfile.c,,nan
CVE-2021-29568,"TensorFlow is an end-to-end open source platform for machine learning. An attacker can trigger undefined behavior by binding to null pointer in `tf.raw_ops.ParameterizedTruncatedNormal`. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/3f6fe4dfef6f57e768260b48166c27d148f3015f/tensorflow/core/kernels/parameterized_truncated_normal_op.cc#L630) does not validate input arguments before accessing the first element of `shape`. If `shape` argument is empty, then `shape_tensor.flat<T>()` is an empty array. The fix will be included in TensorFlow 2.5.0. We will also cherrypick this commit on TensorFlow 2.4.2, TensorFlow 2.3.3, TensorFlow 2.2.3 and TensorFlow 2.1.4, as these are also affected and still in supported range.",CWE-20->CWE-476,does not validate input arguments before accessing the first element,does not validate input arguments before accessing the first element,,undefined behavior,,,TensorFlow,"2.5.0, 2.4.2, 2.3.3, 2.2.3 and 2.1.4",tf.raw_ops.ParameterizedTruncatedNormal,,"nan, behavior, undefined"
