"cve_id","Container","adp_providerMetadata_orgId","adp_providerMetadata_shortName","adp_providerMetadata_dateUpdated","CVE_Description","cna_providerMetadata_orgId","cna_providerMetadata_shortName","cna_providerMetadata_dateUpdated","CWE_ID","CWE_Description"
"CVE-2021-47329","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T15:35:43.205Z","In the Linux kernel, the following vulnerability has been resolved:  scsi: megaraid_sas: Fix resource leak in case of probe failure  The driver doesn't clean up all the allocated resources properly when scsi_add_host(), megasas_start_aen() function fails during the PCI device probe.  Clean up all those resources.","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption"
"CVE-2021-47368","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T20:41:40.403Z","In the Linux kernel, the following vulnerability has been resolved:  enetc: Fix illegal access when reading affinity_hint  irq_set_affinity_hit() stores a reference to the cpumask_t parameter in the irq descriptor, and that reference can be accessed later from irq_affinity_hint_proc_show(). Since the cpu_mask parameter passed to irq_set_affinity_hit() has only temporary storage (it's on the stack memory), later accesses to it are illegal. Thus reads from the corresponding procfs affinity_hint file can result in paging request oops.  The issue is fixed by the get_cpu_mask() helper, which provides a permanent storage for the cpumask_t parameter.","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption"
"CVE-2021-47482","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:23:34.682Z","In the Linux kernel, the following vulnerability has been resolved:  net: batman-adv: fix error handling  Syzbot reported ODEBUG warning in batadv_nc_mesh_free(). The problem was in wrong error handling in batadv_mesh_init().  Before this patch batadv_mesh_init() was calling batadv_mesh_free() in case of any batadv_*_init() calls failure. This approach may work well, when there is some kind of indicator, which can tell which parts of batadv are initialized; but there isn't any.  All written above lead to cleaning up uninitialized fields. Even if we hide ODEBUG warning by initializing bat_priv->nc.work, syzbot was able to hit GPF in batadv_nc_purge_paths(), because hash pointer in still NULL. [1]  To fix these bugs we can unwind batadv_*_init() calls one by one. It is good approach for 2 reasons: 1) It fixes bugs on error handling path 2) It improves the performance, since we won't call unneeded batadv_*_free() functions.  So, this patch makes all batadv_*_init() clean up all allocated memory before returning with an error to no call correspoing batadv_*_free() and open-codes batadv_mesh_free() with proper order to avoid touching uninitialized fields.","","","","CWE-544","CWE-544 Missing Standardized Error Handling Mechanism"
"CVE-2021-47371","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T19:24:59.850Z","In the Linux kernel, the following vulnerability has been resolved:  nexthop: Fix memory leaks in nexthop notification chain listeners  syzkaller discovered memory leaks [1] that can be reduced to the following commands:   # ip nexthop add id 1 blackhole  # devlink dev reload pci/0000:06:00.0  As part of the reload flow, mlxsw will unregister its netdevs and then unregister from the nexthop notification chain. Before unregistering from the notification chain, mlxsw will receive delete notifications for nexthop objects using netdevs registered by mlxsw or their uppers. mlxsw will not receive notifications for nexthops using netdevs that are not dismantled as part of the reload flow. For example, the blackhole nexthop above that internally uses the loopback netdev as its nexthop device.  One way to fix this problem is to have listeners flush their nexthop tables after unregistering from the notification chain. This is error-prone as evident by this patch and also not symmetric with the registration path where a listener receives a dump of all the existing nexthops.  Therefore, fix this problem by replaying delete notifications for the listener being unregistered. This is symmetric to the registration path and also consistent with the netdev notification chain.  The above means that unregister_nexthop_notifier(), like register_nexthop_notifier(), will have to take RTNL in order to iterate over the existing nexthops and that any callers of the function cannot hold RTNL. This is true for mlxsw and netdevsim, but not for the VXLAN driver. To avoid a deadlock, change the latter to unregister its nexthop listener without holding RTNL, making it symmetric to the registration path.  [1] unreferenced object 0xffff88806173d600 (size 512):   comm ""syz-executor.0"", pid 1290, jiffies 4295583142 (age 143.507s)   hex dump (first 32 bytes):     41 9d 1e 60 80 88 ff ff 08 d6 73 61 80 88 ff ff  A..`......sa....     08 d6 73 61 80 88 ff ff 01 00 00 00 00 00 00 00  ..sa............   backtrace:     [<ffffffff81a6b576>] kmemleak_alloc_recursive include/linux/kmemleak.h:43 [inline]     [<ffffffff81a6b576>] slab_post_alloc_hook+0x96/0x490 mm/slab.h:522     [<ffffffff81a716d3>] slab_alloc_node mm/slub.c:3206 [inline]     [<ffffffff81a716d3>] slab_alloc mm/slub.c:3214 [inline]     [<ffffffff81a716d3>] kmem_cache_alloc_trace+0x163/0x370 mm/slub.c:3231     [<ffffffff82e8681a>] kmalloc include/linux/slab.h:591 [inline]     [<ffffffff82e8681a>] kzalloc include/linux/slab.h:721 [inline]     [<ffffffff82e8681a>] mlxsw_sp_nexthop_obj_group_create drivers/net/ethernet/mellanox/mlxsw/spectrum_router.c:4918 [inline]     [<ffffffff82e8681a>] mlxsw_sp_nexthop_obj_new drivers/net/ethernet/mellanox/mlxsw/spectrum_router.c:5054 [inline]     [<ffffffff82e8681a>] mlxsw_sp_nexthop_obj_event+0x59a/0x2910 drivers/net/ethernet/mellanox/mlxsw/spectrum_router.c:5239     [<ffffffff813ef67d>] notifier_call_chain+0xbd/0x210 kernel/notifier.c:83     [<ffffffff813f0662>] blocking_notifier_call_chain kernel/notifier.c:318 [inline]     [<ffffffff813f0662>] blocking_notifier_call_chain+0x72/0xa0 kernel/notifier.c:306     [<ffffffff8384b9c6>] call_nexthop_notifiers+0x156/0x310 net/ipv4/nexthop.c:244     [<ffffffff83852bd8>] insert_nexthop net/ipv4/nexthop.c:2336 [inline]     [<ffffffff83852bd8>] nexthop_add net/ipv4/nexthop.c:2644 [inline]     [<ffffffff83852bd8>] rtm_new_nexthop+0x14e8/0x4d10 net/ipv4/nexthop.c:2913     [<ffffffff833e9a78>] rtnetlink_rcv_msg+0x448/0xbf0 net/core/rtnetlink.c:5572     [<ffffffff83608703>] netlink_rcv_skb+0x173/0x480 net/netlink/af_netlink.c:2504     [<ffffffff833de032>] rtnetlink_rcv+0x22/0x30 net/core/rtnetlink.c:5590     [<ffffffff836069de>] netlink_unicast_kernel net/netlink/af_netlink.c:1314 [inline]     [<ffffffff836069de>] netlink_unicast+0x5ae/0x7f0 net/netlink/af_netlink.c:1340     [<ffffffff83607501>] netlink_sendmsg+0x8e1/0xe30 net/netlink/af_netlink.c:1929     [<ffffffff832fde84>] sock_sendmsg_nosec net/socket.c:704 [inline ---truncated---","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption"
"CVE-2021-47238","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-12T18:43:58.230Z","In the Linux kernel, the following vulnerability has been resolved:  net: ipv4: fix memory leak in ip_mc_add1_src  BUG: memory leak unreferenced object 0xffff888101bc4c00 (size 32):   comm ""syz-executor527"", pid 360, jiffies 4294807421 (age 19.329s)   hex dump (first 32 bytes):     00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................     01 00 00 00 00 00 00 00 ac 14 14 bb 00 00 02 00 ................   backtrace:     [<00000000f17c5244>] kmalloc include/linux/slab.h:558 [inline]     [<00000000f17c5244>] kzalloc include/linux/slab.h:688 [inline]     [<00000000f17c5244>] ip_mc_add1_src net/ipv4/igmp.c:1971 [inline]     [<00000000f17c5244>] ip_mc_add_src+0x95f/0xdb0 net/ipv4/igmp.c:2095     [<000000001cb99709>] ip_mc_source+0x84c/0xea0 net/ipv4/igmp.c:2416     [<0000000052cf19ed>] do_ip_setsockopt net/ipv4/ip_sockglue.c:1294 [inline]     [<0000000052cf19ed>] ip_setsockopt+0x114b/0x30c0 net/ipv4/ip_sockglue.c:1423     [<00000000477edfbc>] raw_setsockopt+0x13d/0x170 net/ipv4/raw.c:857     [<00000000e75ca9bb>] __sys_setsockopt+0x158/0x270 net/socket.c:2117     [<00000000bdb993a8>] __do_sys_setsockopt net/socket.c:2128 [inline]     [<00000000bdb993a8>] __se_sys_setsockopt net/socket.c:2125 [inline]     [<00000000bdb993a8>] __x64_sys_setsockopt+0xba/0x150 net/socket.c:2125     [<000000006a1ffdbd>] do_syscall_64+0x40/0x80 arch/x86/entry/common.c:47     [<00000000b11467c4>] entry_SYSCALL_64_after_hwframe+0x44/0xae  In commit 24803f38a5c0 (""igmp: do not remove igmp souce list info when set link down""), the ip_mc_clear_src() in ip_mc_destroy_dev() was removed, because it was also called in igmpv3_clear_delrec().  Rough callgraph:  inetdev_destroy -> ip_mc_destroy_dev      -> igmpv3_clear_delrec         -> ip_mc_clear_src -> RCU_INIT_POINTER(dev->ip_ptr, NULL)  However, ip_mc_clear_src() called in igmpv3_clear_delrec() doesn't release in_dev->mc_list->sources. And RCU_INIT_POINTER() assigns the NULL to dev->ip_ptr. As a result, in_dev cannot be obtained through inetdev_by_index() and then in_dev->mc_list->sources cannot be released by ip_mc_del1_src() in the sock_close. Rough call sequence goes like:  sock_close -> __sock_release    -> inet_release       -> ip_mc_drop_socket          -> inetdev_by_index          -> ip_mc_leave_src             -> ip_mc_del_src                -> ip_mc_del1_src  So we still need to call ip_mc_clear_src() in ip_mc_destroy_dev() to free in_dev->mc_list->sources.","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption"
"CVE-2021-47441","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T15:07:31.546Z","In the Linux kernel, the following vulnerability has been resolved:  mlxsw: thermal: Fix out-of-bounds memory accesses  Currently, mlxsw allows cooling states to be set above the maximum cooling state supported by the driver:   # cat /sys/class/thermal/thermal_zone2/cdev0/type  mlxsw_fan  # cat /sys/class/thermal/thermal_zone2/cdev0/max_state  10  # echo 18 > /sys/class/thermal/thermal_zone2/cdev0/cur_state  # echo $?  0  This results in out-of-bounds memory accesses when thermal state transition statistics are enabled (CONFIG_THERMAL_STATISTICS=y), as the transition table is accessed with a too large index (state) [1].  According to the thermal maintainer, it is the responsibility of the driver to reject such operations [2].  Therefore, return an error when the state to be set exceeds the maximum cooling state supported by the driver.  To avoid dead code, as suggested by the thermal maintainer [3], partially revert commit a421ce088ac8 (""mlxsw: core: Extend cooling device with cooling levels"") that tried to interpret these invalid cooling states (above the maximum) in a special way. The cooling levels array is not removed in order to prevent the fans going below 20% PWM, which would cause them to get stuck at 0% PWM.  [1] BUG: KASAN: slab-out-of-bounds in thermal_cooling_device_stats_update+0x271/0x290 Read of size 4 at addr ffff8881052f7bf8 by task kworker/0:0/5  CPU: 0 PID: 5 Comm: kworker/0:0 Not tainted 5.15.0-rc3-custom-45935-gce1adf704b14 #122 Hardware name: Mellanox Technologies Ltd. ""MSN2410-CB2FO""/""SA000874"", BIOS 4.6.5 03/08/2016 Workqueue: events_freezable_power_ thermal_zone_device_check Call Trace:  dump_stack_lvl+0x8b/0xb3  print_address_description.constprop.0+0x1f/0x140  kasan_report.cold+0x7f/0x11b  thermal_cooling_device_stats_update+0x271/0x290  __thermal_cdev_update+0x15e/0x4e0  thermal_cdev_update+0x9f/0xe0  step_wise_throttle+0x770/0xee0  thermal_zone_device_update+0x3f6/0xdf0  process_one_work+0xa42/0x1770  worker_thread+0x62f/0x13e0  kthread+0x3ee/0x4e0  ret_from_fork+0x1f/0x30  Allocated by task 1:  kasan_save_stack+0x1b/0x40  __kasan_kmalloc+0x7c/0x90  thermal_cooling_device_setup_sysfs+0x153/0x2c0  __thermal_cooling_device_register.part.0+0x25b/0x9c0  thermal_cooling_device_register+0xb3/0x100  mlxsw_thermal_init+0x5c5/0x7e0  __mlxsw_core_bus_device_register+0xcb3/0x19c0  mlxsw_core_bus_device_register+0x56/0xb0  mlxsw_pci_probe+0x54f/0x710  local_pci_probe+0xc6/0x170  pci_device_probe+0x2b2/0x4d0  really_probe+0x293/0xd10  __driver_probe_device+0x2af/0x440  driver_probe_device+0x51/0x1e0  __driver_attach+0x21b/0x530  bus_for_each_dev+0x14c/0x1d0  bus_add_driver+0x3ac/0x650  driver_register+0x241/0x3d0  mlxsw_sp_module_init+0xa2/0x174  do_one_initcall+0xee/0x5f0  kernel_init_freeable+0x45a/0x4de  kernel_init+0x1f/0x210  ret_from_fork+0x1f/0x30  The buggy address belongs to the object at ffff8881052f7800  which belongs to the cache kmalloc-1k of size 1024 The buggy address is located 1016 bytes inside of  1024-byte region [ffff8881052f7800, ffff8881052f7c00) The buggy address belongs to the page: page:0000000052355272 refcount:1 mapcount:0 mapping:0000000000000000 index:0x0 pfn:0x1052f0 head:0000000052355272 order:3 compound_mapcount:0 compound_pincount:0 flags: 0x200000000010200(slab|head|node=0|zone=2) raw: 0200000000010200 ffffea0005034800 0000000300000003 ffff888100041dc0 raw: 0000000000000000 0000000000100010 00000001ffffffff 0000000000000000 page dumped because: kasan: bad access detected  Memory state around the buggy address:  ffff8881052f7a80: 00 00 00 00 00 00 04 fc fc fc fc fc fc fc fc fc  ffff8881052f7b00: fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc >ffff8881052f7b80: fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc                                                                 ^  ffff8881052f7c00: fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc  ffff8881052f7c80: fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc fc  [2] https://lore.kernel.org/linux-pm/9aca37cb-1629-5c67- ---truncated---","","","","CWE-787","CWE-787 Out-of-bounds Write"
"CVE-2021-47486","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:14:44.529Z","In the Linux kernel, the following vulnerability has been resolved:  riscv, bpf: Fix potential NULL dereference  The bpf_jit_binary_free() function requires a non-NULL argument. When the RISC-V BPF JIT fails to converge in NR_JIT_ITERATIONS steps, jit_data->header will be NULL, which triggers a NULL dereference. Avoid this by checking the argument, prior calling the function.","","","","CWE-476","CWE-476 NULL Pointer Dereference"
"CVE-2021-47274","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T18:21:05.654Z","In the Linux kernel, the following vulnerability has been resolved:  tracing: Correct the length check which causes memory corruption  We've suffered from severe kernel crashes due to memory corruption on our production environment, like,  Call Trace: [1640542.554277] general protection fault: 0000 [#1] SMP PTI [1640542.554856] CPU: 17 PID: 26996 Comm: python Kdump: loaded Tainted:G [1640542.556629] RIP: 0010:kmem_cache_alloc+0x90/0x190 [1640542.559074] RSP: 0018:ffffb16faa597df8 EFLAGS: 00010286 [1640542.559587] RAX: 0000000000000000 RBX: 0000000000400200 RCX: 0000000006e931bf [1640542.560323] RDX: 0000000006e931be RSI: 0000000000400200 RDI: ffff9a45ff004300 [1640542.560996] RBP: 0000000000400200 R08: 0000000000023420 R09: 0000000000000000 [1640542.561670] R10: 0000000000000000 R11: 0000000000000000 R12: ffffffff9a20608d [1640542.562366] R13: ffff9a45ff004300 R14: ffff9a45ff004300 R15: 696c662f65636976 [1640542.563128] FS:  00007f45d7c6f740(0000) GS:ffff9a45ff840000(0000) knlGS:0000000000000000 [1640542.563937] CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033 [1640542.564557] CR2: 00007f45d71311a0 CR3: 000000189d63e004 CR4: 00000000003606e0 [1640542.565279] DR0: 0000000000000000 DR1: 0000000000000000 DR2: 0000000000000000 [1640542.566069] DR3: 0000000000000000 DR6: 00000000fffe0ff0 DR7: 0000000000000400 [1640542.566742] Call Trace: [1640542.567009]  anon_vma_clone+0x5d/0x170 [1640542.567417]  __split_vma+0x91/0x1a0 [1640542.567777]  do_munmap+0x2c6/0x320 [1640542.568128]  vm_munmap+0x54/0x70 [1640542.569990]  __x64_sys_munmap+0x22/0x30 [1640542.572005]  do_syscall_64+0x5b/0x1b0 [1640542.573724]  entry_SYSCALL_64_after_hwframe+0x44/0xa9 [1640542.575642] RIP: 0033:0x7f45d6e61e27  James Wang has reproduced it stably on the latest 4.19 LTS. After some debugging, we finally proved that it's due to ftrace buffer out-of-bound access using a debug tool as follows: [   86.775200] BUG: Out-of-bounds write at addr 0xffff88aefe8b7000 [   86.780806]  no_context+0xdf/0x3c0 [   86.784327]  __do_page_fault+0x252/0x470 [   86.788367]  do_page_fault+0x32/0x140 [   86.792145]  page_fault+0x1e/0x30 [   86.795576]  strncpy_from_unsafe+0x66/0xb0 [   86.799789]  fetch_memory_string+0x25/0x40 [   86.804002]  fetch_deref_string+0x51/0x60 [   86.808134]  kprobe_trace_func+0x32d/0x3a0 [   86.812347]  kprobe_dispatcher+0x45/0x50 [   86.816385]  kprobe_ftrace_handler+0x90/0xf0 [   86.820779]  ftrace_ops_assist_func+0xa1/0x140 [   86.825340]  0xffffffffc00750bf [   86.828603]  do_sys_open+0x5/0x1f0 [   86.832124]  do_syscall_64+0x5b/0x1b0 [   86.835900]  entry_SYSCALL_64_after_hwframe+0x44/0xa9  commit b220c049d519 (""tracing: Check length before giving out the filter buffer"") adds length check to protect trace data overflow introduced in 0fc1b09ff1ff, seems that this fix can't prevent overflow entirely, the length check should also take the sizeof entry->array[0] into account, since this array[0] is filled the length of trace data and occupy addtional space and risk overflow.","","","","CWE-125","CWE-125 Out-of-bounds Read"
"CVE-2021-47242","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T19:12:35.384Z","In the Linux kernel, the following vulnerability has been resolved:  mptcp: fix soft lookup in subflow_error_report()  Maxim reported a soft lookup in subflow_error_report():   watchdog: BUG: soft lockup - CPU#0 stuck for 22s! [swapper/0:0]  RIP: 0010:native_queued_spin_lock_slowpath  RSP: 0018:ffffa859c0003bc0 EFLAGS: 00000202  RAX: 0000000000000101 RBX: 0000000000000001 RCX: 0000000000000000  RDX: ffff9195c2772d88 RSI: 0000000000000000 RDI: ffff9195c2772d88  RBP: ffff9195c2772d00 R08: 00000000000067b0 R09: c6e31da9eb1e44f4  R10: ffff9195ef379700 R11: ffff9195edb50710 R12: ffff9195c2772d88  R13: ffff9195f500e3d0 R14: ffff9195ef379700 R15: ffff9195ef379700  FS:  0000000000000000(0000) GS:ffff91961f400000(0000) knlGS:0000000000000000  CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033  CR2: 000000c000407000 CR3: 0000000002988000 CR4: 00000000000006f0  Call Trace:   <IRQ>  _raw_spin_lock_bh  subflow_error_report  mptcp_subflow_data_available  __mptcp_move_skbs_from_subflow  mptcp_data_ready  tcp_data_queue  tcp_rcv_established  tcp_v4_do_rcv  tcp_v4_rcv  ip_protocol_deliver_rcu  ip_local_deliver_finish  __netif_receive_skb_one_core  netif_receive_skb  rtl8139_poll 8139too  __napi_poll  net_rx_action  __do_softirq  __irq_exit_rcu  common_interrupt   </IRQ>  The calling function - mptcp_subflow_data_available() - can be invoked from different contexts: - plain ssk socket lock - ssk socket lock + mptcp_data_lock - ssk socket lock + mptcp_data_lock + msk socket lock.  Since subflow_error_report() tries to acquire the mptcp_data_lock, the latter two call chains will cause soft lookup.  This change addresses the issue moving the error reporting call to outer functions, where the held locks list is known and the we can acquire only the needed one.","","","","CWE-667","CWE-667 Improper Locking"
"CVE-2021-47259","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T16:40:57.469Z","In the Linux kernel, the following vulnerability has been resolved:  NFS: Fix use-after-free in nfs4_init_client()  KASAN reports a use-after-free when attempting to mount two different exports through two different NICs that belong to the same server.  Olga was able to hit this with kernels starting somewhere between 5.7 and 5.10, but I traced the patch that introduced the clear_bit() call to 4.13. So something must have changed in the refcounting of the clp pointer to make this call to nfs_put_client() the very last one.","","","","CWE-416","CWE-416 Use After Free"
"CVE-2021-47389","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T17:47:04.514Z","In the Linux kernel, the following vulnerability has been resolved:  KVM: SVM: fix missing sev_decommission in sev_receive_start  DECOMMISSION the current SEV context if binding an ASID fails after RECEIVE_START.  Per AMD's SEV API, RECEIVE_START generates a new guest context and thus needs to be paired with DECOMMISSION:       The RECEIVE_START command is the only command other than the LAUNCH_START      command that generates a new guest context and guest handle.  The missing DECOMMISSION can result in subsequent SEV launch failures, as the firmware leaks memory and might not able to allocate more SEV guest contexts in the future.  Note, LAUNCH_START suffered the same bug, but was previously fixed by commit 934002cd660b (""KVM: SVM: Call SEV Guest Decommission if ASID binding fails"").","","","","CWE-772","CWE-772 Missing Release of Resource after Effective Lifetime"
"CVE-2021-47241","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-12T18:28:23.355Z","In the Linux kernel, the following vulnerability has been resolved:  ethtool: strset: fix message length calculation  Outer nest for ETHTOOL_A_STRSET_STRINGSETS is not accounted for. This may result in ETHTOOL_MSG_STRSET_GET producing a warning like:      calculated message payload length (684) not sufficient     WARNING: CPU: 0 PID: 30967 at net/ethtool/netlink.c:369 ethnl_default_doit+0x87a/0xa20  and a splat.  As usually with such warnings three conditions must be met for the warning to trigger:  - there must be no skb size rounding up (e.g. reply_size of 684);  - string set must be per-device (so that the header gets populated);  - the device name must be at least 12 characters long.  all in all with current user space it looks like reading priv flags is the only place this could potentially happen. Or with syzbot :)","","","","CWE-266","CWE-266 Incorrect Privilege Assignment"
