"CVE","Description","Chains","Weakness_Description","ROOTCAUSE","WEAKNESS","IMPACT","VECTOR","ATTACKER","PRODUCT","VERSION","COMPONENT","missing","extra","JSON"
"CVE-2021-0964","In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","CWE-681->CWE-122","heap buffer overflow","","heap buffer overflow | out of bounds write","remote information disclosure","","","Android","Android-10 Android-11 Android-12 Android-9","C2SoftMP3::process() of C2SoftMp3Dec.cpp","","disclosure, of, information, nan, out, remote, bounds, write","{""ROOTCAUSE"": null, ""WEAKNESS"": [""heap buffer overflow "", "" out of bounds write""], ""IMPACT"": ""remote information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Android"", ""VERSION"": ""Android-10 Android-11 Android-12 Android-9"", ""COMPONENT"": ""C2SoftMP3::process() of C2SoftMp3Dec.cpp""}"
"CVE-2021-1001","In PVInitVideoEncoder of mp4enc_api.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12Android ID: A-190435883","","out of bounds read due to a heap buffer overflow","","heap buffer overflow | out of bounds read","local information disclosure","","","Android","Android-12","PVInitVideoEncoder of mp4enc_api.cpp","","nan, local, information, disclosure","{""ROOTCAUSE"": null, ""WEAKNESS"": [""heap buffer overflow "", "" out of bounds read""], ""IMPACT"": ""local information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Android"", ""VERSION"": ""Android-12"", ""COMPONENT"": ""PVInitVideoEncoder of mp4enc_api.cpp""}"
"CVE-2021-1047","In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","CWE-190->CWE-125","out of bounds read due to an integer overflow","","integer overflow | out of bounds read","local information disclosure","","","Android","Android kernel","valid_ipc_dram_addr of cm_access_control.c","","nan, local, information, disclosure","{""ROOTCAUSE"": null, ""WEAKNESS"": [""integer overflow "", "" out of bounds read""], ""IMPACT"": ""local information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Android"", ""VERSION"": ""Android kernel"", ""COMPONENT"": ""valid_ipc_dram_addr of cm_access_control.c""}"
"CVE-2021-20038","A Stack-based buffer overflow vulnerability in SMA100 Apache httpd server's mod_cgi module environment variables allows a remote unauthenticated attacker to potentially execute code as a 'nobody' user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions.","","Stack-based buffer overflow","","Stack-based buffer overflow","potentially execute code as a 'nobody' user","","remote unauthenticated attacker","SMA100 Apache httpd server","firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions","mod_cgi module","","execute, potentially, nan, user, nobody, a, as, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": ""potentially execute code as a 'nobody' user"", ""VECTOR"": null, ""ATTACKER"": ""remote unauthenticated attacker"", ""PRODUCT"": ""SMA100 Apache httpd server"", ""VERSION"": ""firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions"", ""COMPONENT"": ""mod_cgi module""}"
"CVE-2021-20043","A Heap-based buffer overflow vulnerability in SonicWall SMA100 getBookmarks method allows a remote authenticated attacker to potentially execute code as the nobody user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances.","","method is vulnerable to heap-based buffer-overflow, due to unchecked use of strcat.","unchecked use of strcat","Heap-based buffer overflow","potentially execute code as the nobody user","","remote authenticated attacker","SonicWall SMA100","","getBookmarks method","","execute, potentially, user, nobody, as, code, the","{""ROOTCAUSE"": ""unchecked use of strcat"", ""WEAKNESS"": ""Heap-based buffer overflow"", ""IMPACT"": ""potentially execute code as the nobody user"", ""VECTOR"": null, ""ATTACKER"": ""remote authenticated attacker"", ""PRODUCT"": ""SonicWall SMA100"", ""VERSION"": null, ""COMPONENT"": ""getBookmarks method""}"
"CVE-2021-20046","A Stack-based buffer overflow in the SonicOS HTTP Content-Length response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","","Stack-based buffer overflow","","Stack-based buffer overflow","unexpected application termination | heap corruption","","remote authenticated attacker","SonicOS","Gen 5, Gen 6 and Gen 7 firmware versions","HTTP Content-Length response header","","termination, unexpected, heap, corruption, nan, application","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": [""unexpected application termination "", "" heap corruption""], ""VECTOR"": null, ""ATTACKER"": ""remote authenticated attacker"", ""PRODUCT"": ""SonicOS"", ""VERSION"": ""Gen 5, Gen 6 and Gen 7 firmware versions"", ""COMPONENT"": ""HTTP Content-Length response header""}"
"CVE-2021-20048","A Stack-based buffer overflow in the SonicOS SessionID HTTP response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","","Stack-based buffer overflow","","Stack-based buffer overflow","Denial of Service (DoS) | potentially results in code execution","","remote authenticated attacker","SonicOS","Gen 5, Gen 6 and Gen 7 firmware versions","SessionID HTTP response header","","potentially, service, dos, results, of, execution, in, nan, denial, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": [""Denial of Service (DoS) "", "" potentially results in code execution""], ""VECTOR"": null, ""ATTACKER"": ""remote authenticated attacker"", ""PRODUCT"": ""SonicOS"", ""VERSION"": ""Gen 5, Gen 6 and Gen 7 firmware versions"", ""COMPONENT"": ""SessionID HTTP response header""}"
"CVE-2021-21773","An out-of-bounds write vulnerability exists in the TIFF header count-processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","CWE-754->CWE-787","a buffer overflow caused by a missing null check for a size field. ... can lead to an out-of-bounds write ... can result in memory corruption","missing null check for a size field","out-of-bounds write | buffer overflow","memory corruption","specially crafted malformed file","","Accusoft ImageGear","19.8","TIFF header count-processing functionality","","","{""ROOTCAUSE"": ""missing null check for a size field"", ""WEAKNESS"": [""out-of-bounds write "", "" buffer overflow""], ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": null, ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.8, ""COMPONENT"": ""TIFF header count-processing functionality""}"
"CVE-2021-21776","An out-of-bounds write vulnerability exists in the SGI Format Buffer Size Processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","CWE-131->CWE-787","out-of-bounds write","","out-of-bounds write","memory corruption","specially crafted malformed file","","Accusoft ImageGear","19.8","SGI Format Buffer Size Processing functionality","","nan, corruption, memory","{""ROOTCAUSE"": null, ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": null, ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.8, ""COMPONENT"": ""SGI Format Buffer Size Processing functionality""}"
"CVE-2021-21782","An out-of-bounds write vulnerability exists in the SGI format buffer size processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","","out-of-bounds write ... in the SGI format buffer size processing functionality","","out-of-bounds write","memory corruption","specially crafted malformed file","","Accusoft ImageGear","19.8","SGI format buffer size processing functionality","","nan, corruption, memory","{""ROOTCAUSE"": null, ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": null, ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.8, ""COMPONENT"": ""SGI format buffer size processing functionality""}"
"CVE-2021-21793","An out-of-bounds write vulnerability exists in the JPG sof_nb_comp header processing functionality of Accusoft ImageGear 19.8 and 19.9. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","","out-of-bounds write","","out-of-bounds write","memory corruption","specially crafted malformed file","","Accusoft ImageGear","19.8 and 19.9","JPG sof_nb_comp header processing functionality","","nan, corruption, memory","{""ROOTCAUSE"": null, ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": null, ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": ""19.8 and 19.9"", ""COMPONENT"": ""JPG sof_nb_comp header processing functionality""}"
"CVE-2021-21832","A memory corruption vulnerability exists in the ISO Parsing functionality of Disc Soft Ltd Deamon Tools Pro 8.3.0.0767. A specially crafted malformed file can lead to an out-of-bounds write. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","memory corruption ... out-of-bounds write","","out-of-bounds write | memory corruption","segmentation fault | application crash","specially crafted malformed file","","Disc Soft Ltd Deamon Tools Pro","8.3.0.0767","ISO Parsing functionality","","segmentation, nan, fault, application, crash","{""ROOTCAUSE"": null, ""WEAKNESS"": [""out-of-bounds write "", "" memory corruption""], ""IMPACT"": [""segmentation fault "", "" application crash""], ""VECTOR"": ""specially crafted malformed file"", ""ATTACKER"": null, ""PRODUCT"": ""Disc Soft Ltd Deamon Tools Pro"", ""VERSION"": ""8.3.0.0767"", ""COMPONENT"": ""ISO Parsing functionality""}"
"CVE-2021-21887","A stack-based buffer overflow vulnerability exists in the Web Manager SslGenerateCSR functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","","stack-based buffer overflow","","stack-based buffer overflow","remote code execution","specially crafted HTTP request","","Lantronix PremierWave 2050","8.9.0.0R4 (in QEMU)","Web Manager SslGenerateCSR functionality","","nan, remote, execution, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": null, ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4 (in QEMU)"", ""COMPONENT"": ""Web Manager SslGenerateCSR functionality""}"
"CVE-2021-21889","A stack-based buffer overflow vulnerability exists in the Web Manager Ping functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","","stack-based buffer overflow"," ","stack-based buffer overflow","remote code execution","specially crafted HTTP request","attacker","Lantronix PremierWave 2050","8.9.0.0R4","Web Manager Ping functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager Ping functionality""}"
"CVE-2021-21890","A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletedir). An attacker can make an authenticated HTTP request to trigger this vulnerability.","","stack-based buffer overflow"," ","stack-based buffer overflow","remote code execution","specially crafted HTTP request","attacker","Lantronix PremierWave 2050","8.9.0.0R4","Web Manager FsBrowseClean functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager FsBrowseClean functionality""}"
"CVE-2021-21891","A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletefile). An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"," ","stack-based buffer overflow","remote code execution","specially crafted HTTP request","attacker","Lantronix PremierWave 2050","8.9.0.0R4","Web Manager FsBrowseClean functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager FsBrowseClean functionality""}"
"CVE-2021-21892","A stack-based buffer overflow vulnerability exists in the Web Manager FsUnmount functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"," ","stack-based buffer overflow","remote code execution","specially crafted HTTP request","attacker","Lantronix PremierWave 2050","8.9.0.0R4","Web Manager FsUnmount functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially crafted HTTP request"", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Lantronix PremierWave 2050"", ""VERSION"": ""8.9.0.0R4"", ""COMPONENT"": ""Web Manager FsUnmount functionality""}"
"CVE-2021-21901","A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to memcpy. An attacker can send a malicious packet to trigger this vulnerability.","","stack-based buffer overflow"," ","stack-based buffer overflow"," ","specially-crafted packet"," ","Garrett Metal Detectors’ iC Module","CMA Version 5.0","CMA check_udp_crc function","","","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": "" "", ""VECTOR"": ""specially-crafted packet"", ""ATTACKER"": "" "", ""PRODUCT"": ""Garrett Metal Detectors\\u2019 iC Module"", ""VERSION"": ""CMA Version 5.0"", ""COMPONENT"": ""CMA check_udp_crc function""}"
"CVE-2021-21903","A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to strcpy. An attacker can send a malicious packet to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"," ","stack-based buffer overflow"," ","specially-crafted packet"," ","Garrett Metal Detectors’ iC Module","CMA Version 5.0","CMA check_udp_crc function","","","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": "" "", ""VECTOR"": ""specially-crafted packet"", ""ATTACKER"": "" "", ""PRODUCT"": ""Garrett Metal Detectors\\u2019 iC Module"", ""VERSION"": ""CMA Version 5.0"", ""COMPONENT"": ""CMA check_udp_crc function""}"
"CVE-2021-21905","Stack-based buffer overflow vulnerability exists in how the CMA readfile function of Garrett Metal Detectors iC Module CMA Version 5.0 is used at various locations. The Garrett iC Module exposes an authenticated CLI over TCP port 6877. This interface is used by a secondary GUI client, called “CMA Connect”, to interact with the iC Module on behalf of the user. After a client successfully authenticates, they can send plaintext commands to manipulate the device.","CWE-20->CWE-121","Stack-based buffer overflow"," ","Stack-based buffer overflow"," "," ","attacker","Garrett Metal Detectors iC Module","CMA Version 5.0","CMA readfile function","","","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": "" "", ""VECTOR"": "" "", ""ATTACKER"": ""attacker"", ""PRODUCT"": ""Garrett Metal Detectors iC Module"", ""VERSION"": ""CMA Version 5.0"", ""COMPONENT"": ""CMA readfile function""}"
"CVE-2021-21914","A heap-based buffer overflow vulnerability exists in the DecoderStream::Append functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","heap-based buffer overflow"," ","heap-based buffer overflow","code execution","specially-crafted file"," ","Accusoft ImageGear","19.1","DecoderStream::Append functionality","","execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": "" "", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""DecoderStream::Append functionality""}"
"CVE-2021-21938","A heap-based buffer overflow vulnerability exists in the Palette box parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-193->CWE-122","heap-based buffer overflow"," ","heap-based buffer overflow","code execution","specially-crafted file"," ","Accusoft ImageGear","19.1","Palette box parser functionality","","execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": "" "", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""Palette box parser functionality""}"
"CVE-2021-21939","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"," ","heap-based buffer overflow","code execution","specially-crafted file"," ","Accusoft ImageGear","19.1","XWD parser functionality","","execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": "" "", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""XWD parser functionality""}"
"CVE-2021-21943","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"," ","heap-based buffer overflow","code execution","specially-crafted file"," ","Accusoft ImageGear","19.1","XWD parser functionality","","execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": "" "", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""XWD parser functionality""}"
"CVE-2021-21947","Two heap-based buffer overflow vulnerabilities exists in the JPEG-JFIF lossless Huffman image parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger these vulnerabilities.This heap-based buffer overflow takes place when the `SOF3` precision is greater or equal than 9.","CWE-129->CWE-122","heap-based buffer overflow"," ","heap-based buffer overflow","","specially-crafted file"," ","Accusoft ImageGear","19.1","JPEG-JFIF lossless Huffman image parser functionality","","","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": null, ""VECTOR"": ""specially-crafted file"", ""ATTACKER"": "" "", ""PRODUCT"": ""Accusoft ImageGear"", ""VERSION"": 19.1, ""COMPONENT"": ""JPEG-JFIF lossless Huffman image parser functionality""}"
"CVE-2021-21948","A heap-based buffer overflow vulnerability exists in the readDatHeadVec functionality of AnyCubic Chitubox AnyCubic Plugin 1.0.0. A specially-crafted GF file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","heap-based buffer overflow"," ","heap-based buffer overflow","","specially-crafted GF file"," ","AnyCubic Chitubox AnyCubic Plugin","1.0.0","readDatHeadVec functionality","","","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": null, ""VECTOR"": ""specially-crafted GF file"", ""ATTACKER"": "" "", ""PRODUCT"": ""AnyCubic Chitubox AnyCubic Plugin"", ""VERSION"": ""1.0.0"", ""COMPONENT"": ""readDatHeadVec functionality""}"
"CVE-2021-21950","An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.","CWE-1284->CWE-123","out-of-bounds write"," ","out-of-bounds write","code execution","specially-crafted network packet"," ","Anker Eufy Homebase 2","2.1.6.9h","CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary","","execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted network packet"", ""ATTACKER"": "" "", ""PRODUCT"": ""Anker Eufy Homebase 2"", ""VERSION"": ""2.1.6.9h"", ""COMPONENT"": ""CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary""}"
