"cve_id","Container","adp_providerMetadata_orgId","adp_providerMetadata_shortName","adp_providerMetadata_dateUpdated","CVE_Description","cna_providerMetadata_orgId","cna_providerMetadata_shortName","cna_providerMetadata_dateUpdated","CWE_ID","CWE_Description","description_length"
"CVE-2021-47329","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T15:35:43.205Z","In the Linux kernel the following vulnerability has been resolved scsi megaraid_sas Fix resource leak in case of probe failure The driver doesn't clean up all the allocated resources properly when scsi_add_host megasas_start_aen function fails during the PCI device probe Clean up all those resources","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","300"
"CVE-2021-47368","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T20:41:40.403Z","In the Linux kernel the following vulnerability has been resolved enetc Fix illegal access when reading affinity_hint irq_set_affinity_hit stores a reference to the cpumask_t parameter in the irq descriptor and that reference can be accessed later from irq_affinity_hint_proc_show Since the cpu_mask parameter passed to irq_set_affinity_hit has only temporary storage it's on the stack memory later accesses to it are illegal Thus reads from the corresponding procfs affinity_hint file can result in paging request oops The issue is fixed by the get_cpu_mask helper which provides a permanent storage for the cpumask_t parameter","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","628"
"CVE-2021-47482","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:23:34.682Z","In the Linux kernel the following vulnerability has been resolved net batman-adv fix error handling Syzbot reported ODEBUG warning in batadv_nc_mesh_free The problem was in wrong error handling in batadv_mesh_init Before this patch batadv_mesh_init was calling batadv_mesh_free in case of any batadv_*_init calls failure This approach may work well when there is some kind of indicator which can tell which parts of batadv are initialized but there isn't any All written above lead to cleaning up uninitialized fields Even if we hide ODEBUG warning by initializing bat_priv->nc.work syzbot was able to hit GPF in batadv_nc_purge_paths because hash pointer in still NULL To fix these bugs we can unwind batadv_*_init calls one by one It is good approach for reasons It fixes bugs on error handling path It improves the performance since we won't call unneeded batadv_*_free functions So this patch makes all batadv_*_init clean up all allocated memory before returning with an error to no call correspoing batadv_*_free and open-codes batadv_mesh_free with proper order to avoid touching uninitialized fields","","","","CWE-544","CWE-544 Missing Standardized Error Handling Mechanism","1107"
"CVE-2021-47371","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T19:24:59.850Z","In the Linux kernel the following vulnerability has been resolved nexthop Fix memory leaks in nexthop notification chain listeners syzkaller discovered memory leaks that can be reduced to the following commands ip nexthop add id blackhole devlink dev reload As part of the reload flow mlxsw will unregister its netdevs and then unregister from the nexthop notification chain Before unregistering from the notification chain mlxsw will receive delete notifications for nexthop objects using netdevs registered by mlxsw or their uppers mlxsw will not receive notifications for nexthops using netdevs that are not dismantled as part of the reload flow For example the blackhole nexthop above that internally uses the loopback netdev as its nexthop device One way to fix this problem is to have listeners flush their nexthop tables after unregistering from the notification chain This is error-prone as evident by this patch and also not symmetric with the registration path where a listener receives a dump of all the existing nexthops Therefore fix this problem by replaying delete notifications for the listener being unregistered This is symmetric to the registration path and also consistent with the netdev notification chain The above means that unregister_nexthop_notifier like register_nexthop_notifier will have to take RTNL in order to iterate over the existing nexthops and that any callers of the function cannot hold RTNL This is true for mlxsw and netdevsim but not for the VXLAN driver To","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","1742"
"CVE-2021-47238","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-12T18:43:58.230Z","In the Linux kernel the following vulnerability has been resolved net fix memory leak in BUG memory leak unreferenced object size comm pid jiffies age hex dump first bytes ac bb back","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","182"
"CVE-2021-47441","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T15:07:31.546Z","In the Linux kernel the following vulnerability has been resolved mlxsw thermal Fix out-of-bounds memory accesses Currently mlxsw allows cooling states to be set above the maximum cooling state supported by the driver cat mlxsw_fan cat echo echo This results in out-of-bounds memory accesses when thermal state transition statistics are enabled CONFIG_THERMAL_STATISTICS=y as the transition table is accessed with a too large index state According to the thermal maintainer it is the responsibility of the driver to reject such operations Therefore return an error when the state to be set exceeds the maximum cooling state supported by the driver To avoid dead code as suggested by the thermal maintainer partially revert commit mlxsw core Extend cooling device with cooling levels that tried to interpret these invalid cooling states above the maximum in a special way The cooling levels array is not removed in order to prevent the fans going below PWM which would cause them to get stuck at PWM BUG KASAN slab-out-of-bounds in Read of size at addr by task CPU PID Comm Not tainted Hardware name Mellanox Technologies Ltd BIOS Workqueue events_freezable_power_ thermal_zone_device_check Call","","","","CWE-787","CWE-787 Out-of-bounds Write","1194"
"CVE-2021-47486","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:14:44.529Z","In the Linux kernel the following vulnerability has been resolved riscv bpf Fix potential NULL dereference The bpf_jit_binary_free function requires a non-NULL argument When the RISC-V BPF JIT fails to converge in NR_JIT_ITERATIONS steps jit_data->header will be NULL which triggers a NULL dereference Avoid this by checking the argument prior calling the function","","","","CWE-476","CWE-476 NULL Pointer Dereference","364"
"CVE-2021-47274","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T18:21:05.654Z","In the Linux kernel the following vulnerability has been resolved tracing Correct the length check which causes memory corruption We've suffered from severe kernel crashes due to memory corruption on our production environment like Call","","","","CWE-125","CWE-125 Out-of-bounds Read","236"
"CVE-2021-47242","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T19:12:35.384Z","In the Linux kernel the following vulnerability has been resolved mptcp fix soft lookup in subflow_error_report Maxim reported a soft lookup in subflow_error_report watchdog BUG soft lockup stuck for RIP RSP EFLAGS RAX RBX RCX RDX RSI RDI RBP FS CS DS ES Call","","","","CWE-667","CWE-667 Improper Locking","259"
"CVE-2021-47259","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T16:40:57.469Z","In the Linux kernel the following vulnerability has been resolved NFS Fix use-after-free in KASAN reports a use-after-free when attempting to mount two different exports through two different NICs that belong to the same server Olga was able to hit this with kernels starting somewhere between and but I traced the patch that introduced the clear_bit call to So something must have changed in the refcounting of the clp pointer to make this call to nfs_put_client the very last one","","","","CWE-416","CWE-416 Use After Free","481"
"CVE-2021-47389","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T17:47:04.514Z","In the Linux kernel the following vulnerability has been resolved KVM SVM fix missing sev_decommission in sev_receive_start DECOMMISSION the current SEV context if binding an ASID fails after RECEIVE_START Per AMD's SEV API RECEIVE_START generates a new guest context and thus needs to be paired with DECOMMISSION The RECEIVE_START command is the only command other than the LAUNCH_START command that generates a new guest context and guest handle The missing DECOMMISSION can result in subsequent SEV launch failures as the firmware leaks memory and might not able to allocate more SEV guest contexts in the future Note LAUNCH_START suffered the same bug but was previously fixed by commit KVM SVM Call SEV Guest Decommission if ASID binding fails","","","","CWE-772","CWE-772 Missing Release of Resource after Effective Lifetime","748"
"CVE-2021-47241","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-12T18:28:23.355Z","In the Linux kernel the following vulnerability has been resolved ethtool strset fix message length calculation Outer nest for ETHTOOL_A_STRSET_STRINGSETS is not accounted for This may result in ETHTOOL_MSG_STRSET_GET producing a warning like calculated message payload length not sufficient WARNING CPU PID at and a splat As usually with such warnings three conditions must be met for the warning to trigger there must be no skb size rounding up e.g reply_size of string set must be per-device so that the header gets populated the device name must be at least characters long all in all with current user space it looks like reading priv flags is the only place this could potentially happen Or with syzbot","","","","CWE-266","CWE-266 Incorrect Privilege Assignment","708"
"CVE-2021-47456","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:56:11.841Z","In the Linux kernel the following vulnerability has been resolved can peak_pci peak_pci_remove fix UAF When remove the module peek_pci referencing chan again after releasing dev will cause UAF Fix this by releasing dev later The following log reveals it BUG KASAN use-after-free in peak_pci Read of size at addr by task Call","","","","CWE-416","CWE-416 Use After Free","324"
"CVE-2021-47456","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:56:11.841Z","In the Linux kernel the following vulnerability has been resolved can peak_pci peak_pci_remove fix UAF When remove the module peek_pci referencing chan again after releasing dev will cause UAF Fix this by releasing dev later The following log reveals it BUG KASAN use-after-free in peak_pci Read of size at addr by task Call","","","","CWE-467","CWE-467 Use of sizeof() on a Pointer Type","324"
"CVE-2021-47548","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-28T17:34:01.504Z","In the Linux kernel the following vulnerability has been resolved ethernet hisilicon hns hns_dsaf_misc fix a possible array overflow in hns_dsaf_ge_srst_by_port The if statement if port DSAF_GE_NUM return limits the value of port less than DSAF_GE_NUM i.e However if the value of port is or an array overflow could occur port_rst_off dsaf_dev->mac_cb[port]->port_rst_off because the length of dsaf_dev->mac_cb is DSAF_MAX_PORT_NUM i.e To fix this possible array overflow we first check port and if it is greater than or equal to DSAF_MAX_PORT_NUM the function returns","","","","CWE-129","CWE-129 Improper Validation of Array Index","567"
"CVE-2021-47354","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-24T15:43:45.477Z","In the Linux kernel the following vulnerability has been resolved drm/sched Avoid data corruptions Wait for all dependencies of a job to complete before killing it to avoid data corruptions","","","","CWE-787","CWE-787 Out-of-bounds Write","189"
"CVE-2021-47476","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-25T18:24:03.718Z","In the Linux kernel the following vulnerability has been resolved comedi fix NULL-deref in command paths The driver uses endpoint-sized USB transfer buffers but had no sanity checks on the sizes This can lead to zero-size-pointer dereferences or overflowed transfer buffers in and if a malicious device has smaller max-packet sizes than expected or when doing descriptor fuzz testing Add the missing sanity checks to probe","","","","CWE-476","CWE-476 NULL Pointer Dereference","422"
"CVE-2021-47367","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T15:02:07.855Z","In the Linux kernel the following vulnerability has been resolved virtio-net fix pages leaking when building skb in big mode We try to use build_skb if we had sufficient tailroom But we forget to release the unused pages chained via private in big mode which will leak pages Fixing this by release the pages after building the skb in big mode","","","","CWE-119","CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer","342"
"CVE-2021-47503","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-28T16:03:25.985Z","In the Linux kernel the following vulnerability has been resolved scsi Do not call scsi_remove_host in Calling scsi_remove_host before scsi_add_host results in a crash BUG kernel NULL pointer dereference address RIP Call","","","","CWE-476","CWE-476 NULL Pointer Dereference","220"
"CVE-2021-47284","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T17:53:49.572Z","In the Linux kernel the following vulnerability has been resolved isdn mISDN netjet Fix crash in nj_probe nj_setup in netjet.c might fail with EIO and in this case card->irq is initialized and is bigger than zero A subsequent call to nj_release will free the irq that has not been requested Fix this bug by deleting the previous assignment to card->irq and just keep the assignment before request_irq The KASAN's log reveals it WARNING CPU PID at Modules linked in CPU PID Comm Not tainted Hardware name QEMU Standard PC BIOS RIP Code ac ac cf ff ff RSP EFLAGS RAX RBX RCX RDX RSI RDI RBP FS CS DS ES Call","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","605"
"CVE-2021-47586","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-20T15:20:18.459Z","In the Linux kernel the following vulnerability has been resolved net stmmac dwmac-rk fix oob read in rk_gmac_setup KASAN reports an out-of-bounds read in rk_gmac_setup on the line while ops->regs[i This happens for most platforms since the regs flexible array member is empty so the memory after the ops structure is being read here It seems that mostly this happens to contain zero anyway so we get lucky and everything still works To avoid adding redundant data to nearly all the ops structures add a new flag to indicate whether the regs field is valid and avoid this loop when it is not","","","","CWE-125","CWE-125 Out-of-bounds Read","591"
"CVE-2021-47295","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T17:38:18.984Z","In the Linux kernel the following vulnerability has been resolved net sched fix memory leak in tcindex_partial_destroy_work Syzbot reported memory leak in tcindex_set_parms The problem was in non-freed perfect hash in tcindex_partial_destroy_work In tcindex_set_parms new tcindex_data is allocated and some fields from old one are copied to new one but not the perfect hash Since tcindex_partial_destroy_work is the destroy function for old tcindex_data we need to free perfect hash to avoid memory leak","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","503"
"CVE-2021-47230","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-28T19:55:05.278Z","In the Linux kernel the following vulnerability has been resolved KVM Immediately reset the MMU context when the SMM flag is cleared Immediately reset the MMU context when the vCPU's SMM flag is cleared so that the SMM flag in the MMU role is always synchronized with the vCPU's flag If RSM fails which isn't correctly emulated KVM will bail without calling post_leave_smm and leave the MMU in a bad state The bad MMU role can lead to a NULL pointer dereference when grabbing a shadow page's rmap for a page fault as the initial lookups for the gfn will happen with the vCPU's SMM flag whereas the rmap lookup will use the shadow page's SMM flag which comes from the MMU SMM has an entirely different set of memslots and so the initial lookup can find a memslot and then explode on the rmap memslot lookup general protection fault probably for non-canonical address PREEMPT SMP KASAN KASAN null-ptr-deref in range CPU PID Comm Not tainted Hardware name Google Google Compute Engine/Google Compute Engine BIOS Google RIP inline RIP Code ff fb RSP EFLAGS RAX RBX RCX RDX RSI RDI RBP FS CS DS ES Call","","","","CWE-476","CWE-476 NULL Pointer Dereference","1097"
"CVE-2021-47324","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-21T15:57:01.332Z","In the Linux kernel the following vulnerability has been resolved watchdog Fix possible use-after-free in wdt_startup This module's remove path calls del_timer However that function does not wait until the timer handler finishes This means that the timer handler may still be running after the driver's remove function has finished which would result in a use-after-free Fix by calling del_timer_sync which makes sure the timer handler has finished and unable to re-schedule itself","","","","CWE-416","CWE-416 Use After Free","481"
"CVE-2021-47519","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T16:01:05.472Z","In the Linux kernel the following vulnerability has been resolved can m_can m_can_read_fifo fix memory leak in error branch In m_can_read_fifo if the second call to m_can_fifo_read fails the function jump to the out_fail label and returns without calling m_can_receive_skb This means that the skb previously allocated by alloc_can_skb is not freed In other terms this is a memory leak This patch adds a goto label to destroy the skb if an error occurs Issue was found with GCC fanalyzer please follow the link below for details","","","","CWE-401","CWE-401 Missing Release of Memory after Effective Lifetime","527"
"CVE-2021-47313","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T16:15:02.700Z","In the Linux kernel the following vulnerability has been resolved cpufreq CPPC Fix potential memleak in cppc_cpufreq_cpu_init It's a classic example of memleak we allocate something we fail and never free the resources Make sure we free all resources on policy init failures","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption","274"
"CVE-2021-47327","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T16:00:58.987Z","In the Linux kernel the following vulnerability has been resolved iommu/arm-smmu Fix arm_smmu_device refcount leak when arm_smmu_rpm_get fails arm_smmu_rpm_get invokes pm_runtime_get_sync which increases the refcount of the smmu even though the return value is less than The reference counting issue happens in some error handling paths of arm_smmu_rpm_get in its caller functions When arm_smmu_rpm_get fails the caller functions forget to decrease the refcount of smmu increased by arm_smmu_rpm_get causing a refcount leak Fix this issue by calling pm_runtime_resume_and_get instead of pm_runtime_get_sync in arm_smmu_rpm_get which can keep the refcount balanced in case of failure","","","","CWE-911","CWE-911 Improper Update of Reference Count","682"
"CVE-2021-47323","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-21T15:41:31.963Z","In the Linux kernel the following vulnerability has been resolved watchdog Fix possible use-after-free in wdt_turnoff This module's remove path calls del_timer However that function does not wait until the timer handler finishes This means that the timer handler may still be running after the driver's remove function has finished which would result in a use-after-free Fix by calling del_timer_sync which makes sure the timer handler has finished and unable to re-schedule itself","","","","CWE-416","CWE-416 Use After Free","481"
"CVE-2021-47378","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T19:31:48.830Z","In the Linux kernel the following vulnerability has been resolved nvme-rdma destroy cm id before destroy qp to avoid use after free We should always destroy cm_id before destroy qp to avoid to get cma event after qp was destroyed which may lead to use after free In RDMA connection establishment error flow don't destroy qp in cm event handler.Just report cm_error to upper level qp will be destroy in nvme_rdma_alloc_queue after destroy cm id","","","","CWE-416","CWE-416 Use After Free","443"
"CVE-2021-47403","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T19:15:52.078Z","In the Linux kernel the following vulnerability has been resolved ipack ipoctal fix module reference leak A reference to the carrier module was taken on every open but was only released once when the final reference to the tty struct was dropped Fix this by taking the module reference and initialising the tty driver data when installing the tty","","","","CWE-200","CWE-200 Exposure of Sensitive Information to an Unauthorized Actor","346"
"CVE-2021-47232","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-28T19:13:15.768Z","In the Linux kernel the following vulnerability has been resolved can fix Use-after-Free hold skb ref while in use This patch fixes a Use-after-Free found by the syzbot The problem is that a skb is taken from the per-session skb queue without incrementing the ref count This leads to a Use-after-Free if the skb is taken concurrently from the session queue due to a CTS","","","","CWE-416","CWE-416 Use After Free","369"
"CVE-2021-47369","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T19:43:57.090Z","In the Linux kernel the following vulnerability has been resolved fix NULL deref in qeth_clear_working_pool_list When qeth_set_online calls qeth_clear_working_pool_list to roll back after an error exit from qeth_hardsetup_card we are at risk of accessing card->qdio.in_q before it was allocated by qeth_alloc_qdio_queues via qeth_mpc_initialize qeth_clear_working_pool_list then dereferences NULL and by writing to queue->bufs[i].pool_entry scribbles all over the CPU's lowcore Resulting in a crash when those lowcore areas are used next eg on the next machine-check interrupt Such a scenario would typically happen when the device is first set online and its queues aren't allocated yet An early IO error or certain misconfigs eg mismatched transport mode bad portno then cause us to error out from qeth_hardsetup_card with card->qdio.in_q still being NULL Fix it by checking the pointer for NULL before accessing it Note that we also have rare paths inside qeth_mpc_initialize where a configuration change can cause us to free the existing queues expecting that subsequent code will allocate them again If we then error out before that re-allocation happens the same bug occurs Root-caused-by Heiko Carstens hca@linux.ibm.com","","","","CWE-476","CWE-476 NULL Pointer Dereference","1227"
"CVE-2021-47348","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T15:14:56.636Z","In the Linux kernel the following vulnerability has been resolved drm/amd/display Avoid HDCP over-read and corruption Instead of reading the desired bytes of the actual target field the code was reading This could result in a corrupted value if the trailing bytes were non-zero so instead use an appropriately sized and zero-initialized bounce buffer and read only bytes before casting to","","","","CWE-119","CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer","388"
"CVE-2021-47356","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-28T18:27:26.837Z","In the Linux kernel the following vulnerability has been resolved mISDN fix possible use-after-free in HFC_cleanup This module's remove path calls del_timer However that function does not wait until the timer handler finishes This means that the timer handler may still be running after the driver's remove function has finished which would result in a use-after-free Fix by calling del_timer_sync which makes sure the timer handler has finished and unable to re-schedule itself","","","","CWE-416","CWE-416 Use After Free","478"
"CVE-2021-47186","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-03T17:54:34.222Z","In the Linux kernel the following vulnerability has been resolved tipc check for null after calling kmemdup kmemdup can return a null pointer so need to check for it otherwise the null key will be dereferenced later in tipc_crypto_key_xmit as can be seen in the trace","","","","CWE-690","CWE-690 Unchecked Return Value to NULL Pointer Dereference","267"
"CVE-2021-31955","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-29T18:16:53.678Z","Windows Kernel Information Disclosure Vulnerability","","","","CWE-497","CWE-497 Exposure of Sensitive System Information to an Unauthorized Control Sphere","51"
"CVE-2021-31970","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T15:04:57.289Z","Windows TCP/IP Driver Security Feature Bypass Vulnerability","","","","CWE-639","CWE-639 Authorization Bypass Through User-Controlled Key","59"
"CVE-2021-31954","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-29T18:17:31.162Z","Windows Common Log File System Driver Elevation of Privilege Vulnerability","","","","CWE-122","CWE-122 Heap-based Buffer Overflow","74"
"CVE-2021-31156","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-17T17:01:21.488Z","Allied Telesis devices before with Boot Loader allow Directory Traversal to achieve partial access to data","","","","CWE-22","CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","106"
"CVE-2021-25310","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T15:17:07.633Z","The administration web interface on Belkin Linksys devices allows remote authenticated attackers to execute system commands with root privileges via shell metacharacters in the ui_language POST parameter to the apply.cgi form endpoint This occurs in do_upgrade_post in mini_httpd NOTE This vulnerability only affects products that are no longer supported by the maintaine","","","","CWE-150","CWE-150 Improper Neutralization of Escape, Meta, or Control Sequences","371"
"CVE-2021-40905","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-18T15:09:32.815Z","The web management console of CheckMK Enterprise Edition versions to does not properly sanitise the uploading of mkp files which are Extension Packages making remote code execution possible Successful exploitation requires access to the web management interface either with valid credentials or with a hijacked session of a user with administrator role NOTE the vendor states that this is the intended behavior admins are supposed to be able to execute code in this manner","","","","CWE-434","CWE-434 Unrestricted Upload of File with Dangerous Type","472"
